pl_name,hostname,is_control,radius_earth,radius_error_plus,radius_error_minus,catalogue_mass_value_earth,catalogue_mass_class,catalogue_mass_accepted_as_independent,mass_use_reason,hz_conservative_probability,earth2_rank,label,independent_mass_used,covariance_status,mass_radius_correlation,p_rocky_rogers_radius_only,wolfgang_mass_location_earth,wolfgang_intrinsic_scatter_earth,wolfgang_prediction_is_dynamical_mass,zeng_supported_draw_fraction,p_rocky_zeng_fe_si_envelope,p_requires_volatiles_zeng,p_consistent_with_terrestrial_composition_zeng,p_too_dense_for_zeng_cmf_0_to_0p4,otegi_supported_draw_fraction,p_rocky_otegi_equal_prior,p_rocky_otegi_scatter_0p10dex,p_rocky_otegi_scatter_0p30dex,p_rocky_model_min,p_rocky_model_max,p_rocky_model_range,n_rocky_models_supported,composition_evidence_scope
Kepler-1670 b,Kepler-1670,False,3.3564801,,,11.2,inferred_mass_radius,False,mass excluded: only true measured masses support composition inference,0,3494,MODEL-INFERRED,False,unavailable_assumed_zero,,0.0001533858528,13.03205979,1.9,False,0,,,,,0,,,,0.0001533858528,0.0001533858528,,1,radius_only_baseline
HD 108236 b,HD 108236,False,1.615,0.051,-0.051,3.24,inferred_mass_radius,False,mass excluded: only true measured masses support composition inference,0,3499,MODEL-INFERRED,False,unavailable_assumed_zero,,0.4815490588,5.034867533,1.9,False,0,,,,,0,,,,0.4815490588,0.4815490588,,1,radius_only_baseline
Kepler-164 c,Kepler-164,False,2.73,0.52,-0.52,7.9,inferred_mass_radius,False,mass excluded: only true measured masses support composition inference,0,3501,MODEL-INFERRED,False,unavailable_assumed_zero,,0.03491393582,9.962657616,1.9,False,0,,,,,0,,,,0.03491393582,0.03491393582,,1,radius_only_baseline
Kepler-1313 b,Kepler-1313,False,1.76,0.06,-0.08,3.75,inferred_mass_radius,False,mass excluded: only true measured masses support composition inference,0,3504,MODEL-INFERRED,False,unavailable_assumed_zero,,0.3229791129,5.630283098,1.9,False,0,,,,,0,,,,0.3229791129,0.3229791129,,1,radius_only_baseline
Kepler-1188 b,Kepler-1188,False,2.08,0.49,-0.22,4.98,inferred_mass_radius,False,mass excluded: only true measured masses support composition inference,0,3505,MODEL-INFERRED,False,unavailable_assumed_zero,,0.1122965327,6.995940378,1.9,False,0,,,,,0,,,,0.1122965327,0.1122965327,,1,radius_only_baseline
TOI-2141 c,TOI-2141,False,2.35,,,6.14,msini_lower_limit,False,mass excluded: only true measured masses support composition inference,0,3506,MODEL-INFERRED,False,unavailable_assumed_zero,,0.02297736991,8.198831955,1.9,False,0,,,,,0,,,,0.02297736991,0.02297736991,,1,radius_only_baseline
Kepler-143 b,Kepler-143,False,2.41,0.6,-0.6,6.39,inferred_mass_radius,False,mass excluded: only true measured masses support composition inference,0,3507,MODEL-INFERRED,False,unavailable_assumed_zero,,0.1253661226,8.471999462,1.9,False,0,,,,,0,,,,0.1253661226,0.1253661226,,1,radius_only_baseline
Kepler-1138 b,Kepler-1138,False,1.7,0.24,-0.13,3.53,inferred_mass_radius,False,mass excluded: only true measured masses support composition inference,0,3508,MODEL-INFERRED,False,unavailable_assumed_zero,,0.3600109473,5.382045462,1.9,False,0,,,,,0,,,,0.3600109473,0.3600109473,,1,radius_only_baseline
Kepler-1983 b,Kepler-1983,False,2.33,0.13,-0.18,6.04,inferred_mass_radius,False,mass excluded: only true measured masses support composition inference,0,3510,MODEL-INFERRED,False,unavailable_assumed_zero,,0.03717732816,8.108237505,1.9,False,0,,,,,0,,,,0.03717732816,0.03717732816,,1,radius_only_baseline
Kepler-107 c,Kepler-107,False,1.597,0.026,-0.026,10,measured,True,catalogue class is an independent measured mass,0,3511,MODEL-INFERRED,True,unavailable_assumed_zero,,0.5032663896,4.962038792,1.9,False,0.1665,,,,,1,0.6388206803,0.4913168786,0.5855861336,0.5032663896,0.6388206803,0.1355542907,2,independent_mass_and_radius
Kepler-314 c,Kepler-314,False,2.9,0.43,-0.43,8.75,inferred_mass_radius,False,mass excluded: only true measured masses support composition inference,0,3512,MODEL-INFERRED,False,unavailable_assumed_zero,,0.01280984396,10.77658507,1.9,False,0,,,,,0,,,,0.01280984396,0.01280984396,,1,radius_only_baseline
