label,distance_pc,stellar_bolometric_flux_w_m2,earth_quadrature_contrast,earth_reflected_bolometric_flux_w_m2,earth_sun_separation_microarcsec,earth_diameter_microarcsec,diffraction_diameter_separate_1au_m,diffraction_diameter_resolve_earth_m,optimistic_photon_upper_bound_s
Proxima Centauri,1.301,1.890194005459364e-08,1.7358140773855922e-10,3.281025363666223e-18,768640.2300849996,65.54189880598528,0.18006319417433395,2111.684548683856,51.37098849295831
Nearby survey horizon,10.0,3.1993442638345246e-10,1.7358140773855922e-10,5.553466811566812e-20,100000.09393405843,8.527001034658685,1.3840368499180167,16231.241727008888,0.8695058649416972
Milky Way kiloparsec,1000.0,3.199344263834525e-14,1.7358140773855922e-10,5.553466811566813e-24,1000.0009393405845,0.08527001034658686,138.40368499180164,1623124.1727008885,8.695058649416973e-05
Andromeda / Local Group,780000.0,5.258619763041626e-20,1.7358140773855922e-10,9.127986212305742e-30,1.2820524863340828,0.00010932052608536778,107954.87429360527,1266036854.706693,1.429168088332836e-10
M51 candidate host galaxy,8600000.0,4.325776451912554e-22,1.7358140773855922e-10,7.50874366085291e-32,0.11627917899309123,9.915117482161263e-06,1190271.690929494,13958867885.227642,1.1756434085204128e-12
Nearby cosmological volume,100000000.0,3.199344263834525e-24,1.7358140773855922e-10,5.553466811566813e-34,0.010000009393405845,8.527001034658686e-07,13840368.499180166,162312417270.08887,8.695058649416973e-15
