pl_name,spec_type,authors,reference_url,num_datapoints,instrument,facility,minwavelng,maxwavelng,mintranmid,maxtranmid,note,bibcode,spec_path
Kepler-20 c,Transmission,D&eacute;sert et al. 2015,,1,Infrared Array Camera (IRAC),Spitzer Space Telescope satellite,4.5,4.5,,,,2015ApJ...804...59D,56/12/36/06/Kepler_20_c_3.101_3665_1.tbl
55 Cnc e,Transmission,de Mooij et al. 2014,,8,ALFOSC,Nordic Optical Telescope,0.4735,0.656,,,,2014ApJ...797L..21D,78/51/78/87/55_Cnc_e_3.10924_3673_1.tbl
55 Cnc e,Transmission,Tsiaras et al. 2016,,25,Wide Field Camera 3,Hubble Space Telescope satellite,1.132,1.6376,,,,2016ApJ...820...99T,18/43/09/97/55_Cnc_e_3.10924_3750_1.tbl
CoRoT-1 b,Eclipse,Gillon et al. 2009,,1,High Acuity Wide-field K-band Imager (HAWK-I),European Southern Observatory (ESO) 8.2m Very Large Telescope (VLT) Yepun at Paranal Observatory,2.095,2.095,,,Table 1,2009A&A...506..359G,52/88/66/83/CoRoT_1_b_3.10951_2058_1.tbl
CoRoT-1 b,Transmission,Schlawin et al. 2014,,10,SpeX and MORIS,Infrared Telescope Facility,0.86,2.312,,,,2014ApJ...783....5S,30/21/22/41/CoRoT_1_b_3.10951_3421_1.tbl
CoRoT-2 b,Eclipse,Gillon et al. 2010,,2,Infrared Array Camera (IRAC),Spitzer Space Telescope satellite,4.5,8.0,,,Table 1,2010A&A...511A...3G,66/17/12/99/CoRoT_2_b_3.10954_3283_1.tbl
CoRoT-2 b,Eclipse,Deming et al. 2011,,3,Infrared Array Camera (IRAC),Spitzer Space Telescope satellite,3.6,8.0,,,Table 1,2011ApJ...726...95D,28/54/10/44/CoRoT_2_b_3.10954_4094_1.tbl
GJ 1214 b,Transmission,Gillon et al. 2014,,1,TRAPPISTCam,European Southern Observatory (ESO) 0.6m TRAnsiting Planets and PlanetesImals Small Telescope (TRAPPIST) at La Silla Observatory,0.838,0.838,,,,2014A&A...563A..21G,26/12/47/25/GJ_1214_b_3.10969_3420_2.tbl
GJ 1214 b,Transmission,Berta et al. 2012,,24,WFC3,Hubble Space Telescope satellite,1.123,1.656,,,,2012ApJ...747...35B,59/51/90/62/GJ_1214_b_3.10969_3608_1.tbl
GJ 1214 b,Transmission,de Mooij et al. 2012,,4,GROND,Max Planck Gesellschaft 2.2 meter Telescope at European Southern Observatory,0.46,0.9,2455380.59013,2455380.59049,,2012A&A...538A..46D,99/48/40/82/GJ_1214_b_3.10969_3663_1.tbl
GJ 1214 b,Transmission,de Mooij et al. 2013,,1,WFC,Isaac Newton Group's Isaac Newton Telescope,0.4962,0.4962,,,,2013ApJ...771..109D,09/67/50/85/GJ_1214_b_3.10969_3698_1.tbl
GJ 1214 b,Transmission,de Mooij et al. 2013,,1,ACAM,Isaac Newton Group (ING) 4.2m William Herschel Telescope (WHT) at Observatorio del Roque de los Muchachos,0.4996,0.4996,,,,2013ApJ...771..109D,08/04/20/19/GJ_1214_b_3.10969_3698_3.tbl
GJ 1214 b,Eclipse,Kempton et al. 2023,,14,Mid-Infrared Instrument (MIRI) - LRS,NASA 6.5m James Webb Space Telescope (JWST) Satellite Mission,5.25,11.75,,,,2023Natur.620...67K,33/68/66/96/GJ_1214_b_3.10969_5145_1.tbl
GJ 436 b,Eclipse,Stevenson et al. 2010,,5,Infrared Array Camera (IRAC),Spitzer Space Telescope satellite,3.6,24.0,,,Table 1,2010Natur.464.1161S,32/89/47/63/GJ_436_b_3.10974_4090_1.tbl
HAT-P-12 b,Transmission,Mallonn et al. 2015,,2,Multiple Instruments,Multiple Observatories,0.4754,0.6204,,,,2015A&A...583A.138M,29/51/81/37/HAT_P_12_b_3.10993_3675_2.tbl
HAT-P-12 b,Transmission,Mallonn et al. 2015,,1,AFOSC,Asiago Observatory's Copernico Telescope,0.6476,0.6476,,,,2015A&A...583A.138M,39/56/47/84/HAT_P_12_b_3.10993_3675_4.tbl
HAT-P-12 b,Transmission,Sing et al. 2016,,17,Space Telescope Imaging Spectrograph,Hubble Space Telescope satellite,0.38,0.965,,,,2016Natur.529...59S,29/92/34/25/HAT_P_12_b_3.10993_3717_2.tbl
HAT-P-12 b,Transmission,Yan et al. 2020,,13,MODS2,Large Binocular Telescope Observatory,0.395,0.7367,,,,2020A&A...642A..98Y,80/98/57/57/HAT_P_12_b_3.10993_4708_1.tbl
HAT-P-14 b,Transmission,Fukui et al. 2016,,1,RISE,Liverpool 2 meter telesope at Observatorio del Roque de los Muchachos,0.616,0.616,,,,2016ApJ...819...27F,12/47/61/16/HAT_P_14_b_3.10996_3790_2.tbl
HAT-P-18 b,Transmission,Fu et al. 2022,,1021,Near Infrared Imager and Slitless Spectrograph (NIRISS),NASA 6.5m James Webb Space Telescope (JWST) Satellite Mission,0.6078,2.8266,2459743.853395,2459743.853395,,2022ApJ...940L..35F,19/19/99/05/HAT_P_18_b_3.11001_5041_1.tbl
HAT-P-1 b,Transmission,Wilson et al. 2015,,6,OSIRIS,Gran Telescopio CANARIAS 10.4m telescope,0.6792,0.8844,2455127.515,2456623.387,,2015MNRAS.450..192W,63/32/53/52/HAT_P_1_b_3.11003_3664_1.tbl
HAT-P-1 b,Transmission,Sing et al. 2016,,2,Infrared Array Camera (IRAC),Spitzer Space Telescope satellite,3.56,4.5,,,,2016Natur.529...59S,16/66/83/08/HAT_P_1_b_3.11003_3717_1.tbl
HAT-P-1 b,Transmission,Sing et al. 2016,,23,Space Telescope Imaging Spectrograph,Hubble Space Telescope satellite,0.3625,0.9643,,,,2016Natur.529...59S,82/26/70/42/HAT_P_1_b_3.11003_3717_3.tbl
HAT-P-23 b,Transmission,Ciceri et al. 2015,,4,BUSCA,Calar Alto Observatory's 2.2 meter Telescope,0.3585,0.9222,,,,2015A&A...577A..54C,88/81/29/87/HAT_P_23_b_3.11007_3531_1.tbl
HAT-P-26 b,Transmission,Wakeford et al. 2017,,7,Space Telescope Imaging Spectrograph,Hubble Space Telescope satellite,0.56,0.957,,,,2017Sci...356..628W,01/81/89/43/HAT_P_26_b_3.11010_4163_1.tbl
HAT-P-32 b,Eclipse,Zhao et al. 2014,,2,Infrared Array Camera (IRAC),Spitzer Space Telescope satellite,3.6,4.5,,,Table 2,2014ApJ...796..115Z,27/28/23/68/HAT_P_32_b_3.11017_3465_1.tbl
HAT-P-32 b,Transmission,Mallonn &amp; Strassmeier 2016,,2,MODS1,Large Binocular Telescope Observatory,0.4475,0.7825,2456245.80334,2456245.80349,,2016A&A...590A.100M,37/83/36/55/HAT_P_32_b_3.11017_3791_1.tbl
HAT-P-32 b,Transmission,Mallonn et al. 2016,,1,KeplerCam,Fred Lawrence Whipple Observatory's 1.2 meter Telescope,0.9222,0.9222,,,,2016MNRAS.463..604M,89/54/96/76/HAT_P_32_b_3.11017_3937_2.tbl
HAT-P-32 b,Eclipse,Nikolov et al. 2018,,14,Wide Field Camera 3,Hubble Space Telescope satellite,1.142,1.625,,,Table 2,2018MNRAS.474.1705N,62/15/92/44/HAT_P_32_b_3.11017_4196_1.tbl
HAT-P-3 b,Transmission,Ricci et al. 2017,,1,SBIG STL-1301E,University of Monterrey (UDEM) 0.36m telescope at Observatorio de la Universidad de Monterrey,0.7886,0.7886,,,,2017PASP..129f4401R,32/02/92/72/HAT_P_3_b_3.11023_3991_4.tbl
HAT-P-6 b,Eclipse,Todorov et al. 2012,,2,Infrared Array Camera (IRAC),Spitzer Space Telescope satellite,3.6,4.5,,,"Table 4 (eclip depth), Table 5 (bright temp)",2012ApJ...746..111T,23/57/16/69/HAT_P_6_b_3.11026_3155_1.tbl
HD 149026 b,Eclipse,Stevenson et al. 2012,,5,Infrared Array Camera (IRAC),Spitzer Space Telescope satellite,3.6,16.0,,,eclipse depth taken from Abstract,2012ApJ...754..136S,78/32/46/03/HD_149026_b_3.11121_4105_1.tbl
HD 189733 b,Eclipse,Agol et al. 2010,,1,Infrared Array Camera (IRAC),Spitzer Space Telescope satellite,8.0,8.0,,,Table 4,2010ApJ...721.1861A,10/36/22/01/HD_189733_b_3.11185_3195_1.tbl
HD 189733 b,Transmission,Pont et al. 2013,,4,Wide Field Camera 3,Hubble Space Telescope satellite,1.105,1.607,2455443.5237,2455510.0983,,2013MNRAS.432.2917P,10/17/63/62/HD_189733_b_3.11185_3590_2.tbl
HD 189733 b,Transmission,Pont et al. 2013,,7,Infrared Array Camera (IRAC),Spitzer Space Telescope satellite,3.6,7.85,2454039.22278,2455559.55455,,2013MNRAS.432.2917P,99/83/01/43/HD_189733_b_3.11185_3590_5.tbl
HD 189733 b,Transmission,Gibson et al. 2012,,4,Wide Field Camera 3,Hubble Space Telescope satellite,1.105,1.607,,,,2012MNRAS.422..753G,72/35/74/98/HD_189733_b_3.11185_3592_1.tbl
HD 189733 b,Transmission,Wyttenbach et al. 2015,,1,HARPS Echelle Spectrograph,European Southern Observatory's 3.6 meter Telescope,0.5893,0.5893,,,,2015A&A...577A..62W,56/86/07/03/HD_189733_b_3.11185_3596_1.tbl
HD 189733 b,Transmission,Sing et al. 2016,,29,Wide Field Camera 3,Hubble Space Telescope satellite,1.1279,1.635,,,,2016Natur.529...59S,36/42/52/56/HD_189733_b_3.11185_3717_3.tbl
HD 189733 b,Transmission,Borsa et al. 2016,,7,HARPS Echelle Spectrograph,European Southern Observatory's 3.6 meter Telescope,0.41,0.675,2453988.80339,2453988.80339,,2016A&A...590A..84B,43/61/26/55/HD_189733_b_3.11185_3856_1.tbl
HD 189733 b,Eclipse,Deming et al. 2006,,1,Infrared Spectrograph (IRS),Spitzer Space Telescope satellite,16.0,16.0,,,eclipse depth taken from Abstract,2006ApJ...644..560D,04/68/93/72/HD_189733_b_3.11185_4072_1.tbl
HD 189733 b,Eclipse,Charbonneau et al. 2008,,1,Infrared Spectrograph (IRS),Spitzer Space Telescope satellite,16.0,16.0,,,Table 1,2008ApJ...686.1341C,80/37/79/52/HD_189733_b_3.11185_4076_2.tbl
HD 189733 b,Eclipse,Knutson et al. 2009,,1,Multiband Imaging Photometer (MIPS),Spitzer Space Telescope satellite,24.0,24.0,,,Table 1,2009ApJ...690..822K,36/20/91/63/HD_189733_b_3.11185_4077_1.tbl
HD 209458 b,Eclipse,Evans et al. 2015,,1,Infrared Array Camera (IRAC),Spitzer Space Telescope satellite,5.8,5.8,,,"Table 4, 2005 Nov 28",2015MNRAS.451..680E,03/21/68/79/HD_209458_b_3.11218_3627_1.tbl
HD 209458 b,Eclipse,Evans et al. 2015,,1,Infrared Array Camera (IRAC),Spitzer Space Telescope satellite,3.6,3.6,,,"Table 4, 2014 Feb 17",2015MNRAS.451..680E,81/32/55/76/HD_209458_b_3.11218_3627_4.tbl
HD 209458 b,Transmission,Deming et al. 2013,,28,Wide Field Camera 3,Hubble Space Telescope satellite,1.119,1.628,2456196.28934,2456196.28934,,2013ApJ...774...95D,65/02/42/98/HD_209458_b_3.11218_3649_1.tbl
HD 209458 b,Transmission,Sing et al. 2016,,29,Wide Field Camera 3,Hubble Space Telescope satellite,1.1217,1.6391,,,,2016Natur.529...59S,77/83/37/95/HD_209458_b_3.11218_3717_2.tbl
HD 209458 b,Eclipse,Diamond-Lowe et al. 2014,,4,Infrared Array Camera (IRAC),Spitzer Space Telescope satellite,3.6,8.0,,,eclipse depth taken from Abstract,2014ApJ...796...66D,98/74/27/28/HD_209458_b_3.11218_4115_1.tbl
Qatar-1 b,Transmission,von Essen et al. 2017,,12,GMOS,Association of Universities for Research in Astronomy (AURA) 8.1m Frederick C. Gillett Gemini North Telescope at Mauna Kea Observatory,0.53,0.704,,,,2017A&A...603A..20V,35/34/28/92/Qatar_1_b_3.11424_4004_1.tbl
TrES-1 b,Eclipse,Charbonneau et al. 2005,,2,Infrared Array Camera (IRAC),Spitzer Space Telescope satellite,4.5,8.0,,,"Bright. temp from text, Section 4, 2nd para.",2005ApJ...626..523C,90/60/12/20/TrES_1_b_3.11430_4071_1.tbl
TrES-3 b,Transmission,Ricci et al. 2017,,3,SBIG STL-1301E,University of Monterrey (UDEM) 0.36m telescope at Observatorio de la Universidad de Monterrey,0.5537,0.7886,,,,2017PASP..129f4401R,67/93/85/11/TrES_3_b_3.11431_3991_3.tbl
TrES-3 b,Eclipse,Croll et al. 2010,,1,Wide-field Infrared Camera (WIRCam),3.58m Canada-France-Hawaii Telescope (CFHT) at Mauna Kea Observatory,2.146,2.146,,,"Table 1, MCMC Ks-band Solution",2010ApJ...718..920C,30/14/31/46/TrES_3_b_3.11431_4088_1.tbl
WASP-10 b,Eclipse,Cruz et al. 2015,,1,OMEGA2000,Max Planck Institute for Astronomy and Institute of Astrophysics of Andalusia (CSIC) 3.5m Telescope at Calar Alto Observatory,2.159,2.159,,,eclipse depth taken from Abstract,2015A&A...574A.103C,53/99/12/80/WASP_10_b_3.11439_4117_1.tbl
WASP-12 b,Transmission,Sing et al. 2013,,2,Infrared Array Camera (IRAC),Spitzer Space Telescope satellite,3.6,4.5,2454508.977005,2454508.977005,,2013MNRAS.436.2956S,87/67/17/08/WASP_12_b_3.11441_3402_1.tbl
WASP-12 b,Transmission,Stevenson et al. 2014,,29,Wide Field Camera 3,Hubble Space Telescope satellite,0.728,1.625,,,,2014AJ....147..161S,49/38/33/73/WASP_12_b_3.11441_3579_1.tbl
WASP-12 b,Eclipse,Stevenson et al. 2014,,11,Wide Field Camera 3,Hubble Space Telescope satellite,1.13,1.63,2455666.5,2455666.5,from Table 3; G141 grism,2014ApJ...791...36S,83/94/45/90/WASP_12_b_3.11441_3580_2.tbl
WASP-12 b,Eclipse,L&oacute;pez-Morales et al. 2010,,1,Seaver Prototype Imaging camera (SPICam),Astrophysical Research Consortium (ARC) 3.5m Telescope At Apache Point Observatory (APO),0.9,0.9,,,"text, Section 3, 2nd paragraph",2010ApJ...716L..36L,49/91/83/58/WASP_12_b_3.11441_4087_1.tbl
WASP-12 b,Eclipse,Croll et al. 2015,,1,WIRCam,3.58m Canada-France-Hawaii Telescope (CFHT) at Mauna Kea Observatory,1.04,1.04,,,"Table 5, WASP-12 Y band, Actual Eclipse Depth",2015ApJ...802...28C,55/29/73/50/WASP_12_b_3.11441_4119_1.tbl
WASP-17 b,Transmission,Bento et al. 2014,,3,ULTRACAM,New Technology Telescope,0.365,0.658,2454558.68535,2454558.68535,,2014MNRAS.437.1511B,16/61/76/33/WASP_17_b_3.11446_3416_1.tbl
WASP-18 b,Eclipse,Nymeyer et al. 2010,,4,Infrared Array Camera (IRAC),Spitzer Space Telescope satellite,3.6,8.0,,,Table 2,2011ApJ...742...35N,80/87/43/31/WASP_18_b_3.11447_2092_1.tbl
WASP-18 b,Eclipse,Arcangeli et al. 2018,,4,Infrared Array Camera (IRAC),Spitzer Space Telescope satellite,3.6,8.0,,,Table 1,2018ApJ...855L..30A,96/04/40/40/WASP_18_b_3.11447_4180_2.tbl
WASP-18 b,Eclipse,Sheppard et al. 2017,,4,Infrared Array Camera (IRAC),Spitzer Space Telescope satellite,3.6,8.0,,,Table 1,2017ApJ...850L..32S,62/81/47/23/WASP_18_b_3.11447_4181_2.tbl
WASP-18 b,Eclipse,Coulombe et al. 2023,,408,Near Infrared Imager and Slitless Spectrograph (NIRISS),NASA 6.5m James Webb Space Telescope (JWST) Satellite Mission,0.8744,2.8412,,,transitspectroscopy pipeline,2023Natur.620..292C,78/74/21/77/WASP_18_b_3.11447_5159_4.tbl
WASP-19 b,Transmission,Mancini et al. 2013,,4,GROND,Max Planck Gesellschaft 2.2 meter Telescope at European Southern Observatory,0.4858,0.9222,,,,2013MNRAS.436....2M,73/37/34/13/WASP_19_b_3.11448_3334_1.tbl
WASP-19 b,Transmission,Mancini et al. 2013,,1,,0.3-m Perth Exoplanet Survey Telescope,0.6469,0.6469,,,,2013MNRAS.436....2M,69/06/03/79/WASP_19_b_3.11448_3334_3.tbl
WASP-19 b,Transmission,Zhou et al. 2013,,1,Merope 2Kx2K,Las Cumbres Observatory Global Telescope Network (LCOGTN) 2m Faulkes Telescope South at Siding Spring Observatory (SSO),0.866,0.866,2456291.059028,2456291.059028,,2013ApJ...774..118Z,45/42/66/53/WASP_19_b_3.11448_3426_2.tbl
WASP-19 b,Transmission,Bean et al. 2013,,9,MMIRS,Carnegie Institution for Science (CIS) 6.5m Landon Clay Telescope at Las Campanas Observatory (LCO),1.29,2.3,,,,2013ApJ...771..108B,44/11/06/65/WASP_19_b_3.11448_3586_1.tbl
WASP-19 b,Transmission,Lendl et al. 2013,,3,EulerCam,The Swiss Euler 1.2m Telescope,0.664,0.9124,,,,2013A&A...552A...2L,27/03/43/82/WASP_19_b_3.11448_3662_1.tbl
WASP-19 b,Eclipse,Zhou et al. 2014,,1,IRIS2,Australian National University (ANU) 3.9m Anglo-Australian Telescope (AAT) at Siding Spring Observatory (SSO),2.144,2.144,,,Table 3,2014MNRAS.445.2746Z,75/89/19/05/WASP_19_b_3.11448_4116_1.tbl
WASP-21 b,Transmission,Chen et al. 2020,,37,OSIRIS,Gran Telescopio CANARIAS 10.4m telescope,0.529,0.903,,,,2020A&A...642A..54C,17/28/62/00/WASP_21_b_3.11450_4694_1.tbl
WASP-31 b,Transmission,Sing et al. 2015,,36,Space Telescope Imaging Spectrograph,Hubble Space Telescope satellite,0.33,0.9642,,,,2015MNRAS.446.2428S,79/51/26/52/WASP_31_b_3.11458_3639_2.tbl
WASP-31 b,Transmission,Sing et al. 2015,,25,Wide Field Camera 3,Hubble Space Telescope satellite,1.144,1.624,,,,2015MNRAS.446.2428S,77/94/18/58/WASP_31_b_3.11458_3639_3.tbl
WASP-33 b,Eclipse,Deming et al. 2012,,1,FLAMINGOS imager,National Optical Astronomy Observatory (NOAO) 2.1 meter Telescope at Kitt Peak National Observatory (KPNO),2.15,2.15,,,Table 3,2012ApJ...754..106D,07/22/48/31/WASP_33_b_3.11460_4104_1.tbl
WASP-33 b,Eclipse,von Essen et al. 2015,,1,Large Binocular Camera,LBT Consortium Large Binocular Telescope (LBT) at Mount Graham International Observatory,1.05,1.05,,,eclipse depth taken from Abstract,2015A&A...584A..75V,29/83/97/72/WASP_33_b_3.11460_4118_1.tbl
WASP-39 b,Transmission,Fischer et al. 2016,,33,Space Telescope Imaging Spectrograph,Hubble Space Telescope satellite,0.33,0.96,,,,2016ApJ...827...19F,80/70/32/30/WASP_39_b_3.11466_3868_2.tbl
WASP-39 b,Eclipse,Kammer et al. 2015,,2,Infrared Array Camera (IRAC),Spitzer Space Telescope satellite,3.6,4.5,,,Table 3,2015ApJ...810..118K,45/23/09/89/WASP_39_b_3.11466_4121_1.tbl
WASP-39 b,Transmission,JWST Transiting Exoplanet Community ERS Team 2022,,95,Near Infrared Spectrograph (NIRSpec),NASA 6.5m James Webb Space Telescope (JWST) Satellite Mission,3.0139,5.5476,,,FIREFLy pipeline,2022arXiv220811692T,74/45/82/95/WASP_39_b_3.11466_4988_2.tbl
WASP-39 b,Transmission,JWST Transiting Exoplanet Community ERS Team 2022,,243,Near Infrared Spectrograph (NIRSpec),NASA 6.5m James Webb Space Telescope (JWST) Satellite Mission,3.0007,5.3405,,,Tiberius pipeline,2022arXiv220811692T,66/84/49/13/WASP_39_b_3.11466_4988_4.tbl
WASP-39 b,Transmission,Feinstein et al. 2023,,331,Near Infrared Imager and Slitless Spectrograph (NIRISS),NASA 6.5m James Webb Space Telescope (JWST) Satellite Mission,0.631,2.7965,,,,2023Natur.614..670F,74/34/80/11/WASP_39_b_3.11466_5078_1.tbl
WASP-3 b,Eclipse,Christiansen et al. 2011,,1,High Resolution Imager (HRI),Deep Impact spacecraft,0.65,0.65,,,Table 6,2011ApJ...726...94C,32/47/91/31/WASP_3_b_3.11467_3153_1.tbl
WASP-3 b,Eclipse,Rostron et al. 2014,,3,Infrared Array Camera (IRAC),Spitzer Space Telescope satellite,3.6,8.0,,,eclipse depth taken from Abstract,2014MNRAS.441.3666R,38/28/31/32/WASP_3_b_3.11467_3923_1.tbl
WASP-3 b,Eclipse,Croll et al. 2015,,1,WIRCam,3.58m Canada-France-Hawaii Telescope (CFHT) at Mauna Kea Observatory,2.15,2.15,,,"Table 5, WASP-3 Ks band combined, Actual Eclipse D",2015ApJ...802...28C,44/28/12/51/WASP_3_b_3.11467_4119_1.tbl
WASP-43 b,Transmission,Ricci et al. 2015,,3,Mexman,Observatorio Astronomico Nacional's 0.84m Telescope,0.575,0.804,,,,2015PASP..127..143R,38/92/71/32/WASP_43_b_3.11469_3491_1.tbl
WASP-43 b,Transmission,Hoyer et al. 2016,,2,Sinistro,LCOGT 1m telescope at Cerro Tololo Inter-American Observatory,0.477,0.7545,2457064.70746,2457423.45037,,2016AJ....151..137H,42/08/97/21/WASP_43_b_3.11469_3830_2.tbl
WASP-43 b,Eclipse,Gillon et al. 2012,,1,TRAPPISTCam,European Southern Observatory (ESO) 0.6m TRAnsiting Planets and PlanetesImals Small Telescope (TRAPPIST) at La Silla Observatory,0.9159,0.9159,,,Table 5,2012A&A...542A...4G,79/57/03/73/WASP_43_b_3.11469_4097_2.tbl
WASP-43 b,Eclipse,Zhou et al. 2014,,1,IRIS2,Australian National University (ANU) 3.9m Anglo-Australian Telescope (AAT) at Siding Spring Observatory (SSO),2.144,2.144,,,Table 3,2014MNRAS.445.2746Z,78/67/83/33/WASP_43_b_3.11469_4116_1.tbl
WASP-46 b,Transmission,Ciceri et al. 2016,,1,DFOSC,Danish 1.54m telescope at European Southern Observatory,0.6489,0.6489,,,,2016MNRAS.456..990C,94/59/65/66/WASP_46_b_3.11472_3701_1.tbl
WASP-46 b,Eclipse,Zhou et al. 2015,,1,IRIS2,Australian National University (ANU) 3.9m Anglo-Australian Telescope (AAT) at Siding Spring Observatory (SSO),2.159,2.159,,,Table 2,2015MNRAS.454.3002Z,19/98/72/97/WASP_46_b_3.11472_4122_1.tbl
WASP-4 b,Transmission,Huitson et al. 2017,,4,GMOS,Association of Universities for Research in Astronomy (AURA) 8.1m Gemini South Telescope at Cerro Pachon,0.525,0.7125,2455844.662871,2456924.615612,,2017AJ....154...95H,97/93/03/06/WASP_4_b_3.11474_4002_1.tbl
WASP-4 b,Eclipse,Beerer et al. 2011,,2,Infrared Array Camera (IRAC),Spitzer Space Telescope satellite,3.6,4.5,,,Table 1,2011ApJ...727...23B,79/72/76/16/WASP_4_b_3.11474_4095_1.tbl
WASP-5 b,Eclipse,Chen et al. 2014,,2,GROND,European Southern Observatory (ESO)/Max Planck Gesellschaft (MPG) 2.2m Telescope at La Silla Observatory,1.22,2.19,,,eclipse depth taken from Abstract,2014A&A...563A..40C,24/59/47/17/WASP_5_b_3.11476_3425_1.tbl
WASP-5 b,Eclipse,Zhou et al. 2015,,1,IRIS2,Australian National University (ANU) 3.9m Anglo-Australian Telescope (AAT) at Siding Spring Observatory (SSO),2.159,2.159,,,Table 2,2015MNRAS.454.3002Z,83/97/41/15/WASP_5_b_3.11476_4122_1.tbl
WASP-6 b,Eclipse,Kammer et al. 2015,,2,Infrared Array Camera (IRAC),Spitzer Space Telescope satellite,3.6,4.5,,,Table 3,2015ApJ...810..118K,69/25/10/36/WASP_6_b_3.11477_4121_1.tbl
XO-2 N b,Transmission,Pearson et al. 2019,,86,KOSMOS,National Optical Astronomy Observatory (NOAO) 4m Nicholas U. Mayall Telescope at Kitt Peak National Observatory (KPNO),0.384,0.6558,,,,2019AJ....157...21P,19/97/80/05/XO_2_N_b_3.11481_4246_2.tbl
XO-2 N b,Transmission,Sing et al. 2011,,4,OSIRIS,Gran Telescopio CANARIAS 10.4m telescope,0.6792,0.8839,,,,2011A&A...527A..73S,33/78/15/76/XO_2_N_b_3.11481_4248_1.tbl
XO-3 b,Eclipse,Wong et al. 2014,,1,Infrared Array Camera (IRAC),Spitzer Space Telescope satellite,4.5,4.5,,,eclipse depth taken from Abstract,2014ApJ...794..134W,84/63/41/53/XO_3_b_3.11482_3924_1.tbl
XO-4 b,Eclipse,Todorov et al. 2012,,2,Infrared Array Camera (IRAC),Spitzer Space Telescope satellite,3.6,4.5,,,"Table 4 (eclip depth), Table 5 (bright temp)",2012ApJ...746..111T,13/35/29/69/XO_4_b_3.11483_3155_1.tbl
KELT-1 b,Eclipse,Beatty et al. 2014,,1,Apogee CCD,University of Louisville 0.6m (24inch) Telescope at Moore Observatory,0.905,0.905,,,eclipse depth taken from Abstract,2014ApJ...783..112B,34/59/31/62/KELT_1_b_3.11521_4113_1.tbl
KELT-1 b,Eclipse,Croll et al. 2015,,1,WIRCam,3.58m Canada-France-Hawaii Telescope (CFHT) at Mauna Kea Observatory,2.19,2.19,,,"Table 5, KELT-1 Ks band, Actual Eclipse Depth",2015ApJ...802...28C,58/34/57/54/KELT_1_b_3.11521_4119_1.tbl
KELT-2 A b,Eclipse,Piskorz et al. 2018,,2,Infrared Array Camera (IRAC),Spitzer Space Telescope satellite,3.6,4.5,,,Table 2,2018AJ....156..133P,61/20/18/92/KELT_2_A_b_3.11522_4195_1.tbl
GJ 3470 b,Transmission,Biddle et al. 2014,,2,,European Southern Observatory (ESO) 0.6m TRAnsiting Planets and PlanetesImals Small Telescope (TRAPPIST) at La Silla Observatory,0.9222,0.9222,2455983.7417,2455993.7141,,2014MNRAS.443.1810B,93/70/66/95/GJ_3470_b_3.11524_3413_3.tbl
GJ 3470 b,Transmission,Biddle et al. 2014,,3,SBIG imager,LCOGT 1m telescope at McDonald Observatory,0.6274,0.7695,2456360.7449,2456380.7648,,2014MNRAS.443.1810B,64/74/60/84/GJ_3470_b_3.11524_3413_6.tbl
GJ 3470 b,Transmission,Biddle et al. 2014,,1,Large Monolithic Imager,Lowell Observatory's 4.3-m Discovery Channel Telescope,0.7886,0.7886,2456310.69616,2456310.69616,,2014MNRAS.443.1810B,37/90/72/19/GJ_3470_b_3.11524_3413_9.tbl
GJ 3470 b,Transmission,Biddle et al. 2014,,1,EulerCam,The Swiss Euler 1.2m Telescope,0.9222,0.9222,2455993.7141,2455993.7141,,2014MNRAS.443.1810B,07/17/88/10/GJ_3470_b_3.11524_3413_11.tbl
GJ 3470 b,Transmission,Ehrenreich et al. 2014,,107,Wide Field Camera 3,Hubble Space Telescope satellite,1.153,1.645,,,,2014A&A...570A..89E,61/55/86/38/GJ_3470_b_3.11524_3569_1.tbl
GJ 3470 b,Transmission,Dragomir et al. 2015,,1,Fairchild CCD486 BI,LCOGT 2m telescope at Haleakala Observatory,0.49,0.49,2456681.0617,2456681.0617,,2015ApJ...814..102D,03/65/03/60/GJ_3470_b_3.11524_3712_3.tbl
GJ 3470 b,Transmission,Awiphan et al. 2016,,1,Multiple Instruments,Multiple Observatories,0.6469,0.6469,,,,2016MNRAS.463.2574A,40/34/28/83/GJ_3470_b_3.11524_3890_1.tbl
GJ 3470 b,Transmission,Benneke et al. 2019,,2,Infrared Array Camera (IRAC),Spitzer Space Telescope satellite,3.6,4.5,,,,2019NatAs...3..813B,28/07/07/79/GJ_3470_b_3.11524_4359_3.tbl
WASP-67 b,Transmission,Mancini et al. 2014,,1,EulerCam,The Swiss Euler 1.2m Telescope,0.6641,0.6641,,,,2014A&A...568A.127M,13/19/61/84/WASP_67_b_3.11547_3450_4.tbl
WASP-52 b,Transmission,Louden et al. 2017,,19,ACAM,Isaac Newton Group (ING) 4.2m William Herschel Telescope (WHT) at Observatorio del Roque de los Muchachos,0.4125,0.8625,,,,2017MNRAS.470..742L,36/40/14/37/WASP_52_b_3.11565_3992_1.tbl
WASP-80 b,Transmission,Triaud et al. 2015,,2,Multiple Instruments,Multiple Observatories,0.62,0.9,,,,2015MNRAS.450.2279T,56/31/13/75/WASP_80_b_3.11585_3542_2.tbl
