pl_name,spec_type,authors,reference_url,num_datapoints,instrument,facility,minwavelng,maxwavelng,mintranmid,maxtranmid,note,bibcode,spec_path
HAT-P-41 b,Eclipse,Changeat et al. 2022,,2,Infrared Array Camera (IRAC),Spitzer Space Telescope satellite,3.6,4.5,,,Figure 2,2022ApJS..260....3C,04/47/39/71/HAT_P_41_b_3.11534_5219_107.tbl
HD 189733 b,Eclipse,Changeat et al. 2022,,6,Infrared Array Camera (IRAC),Spitzer Space Telescope satellite,3.6,24.0,,,Figure 2,2022ApJS..260....3C,87/63/79/50/HD_189733_b_3.11185_5219_113.tbl
KELT-1 b,Eclipse,Changeat et al. 2022,,25,Wide Field Camera 3,Hubble Space Telescope satellite,1.1263,1.6295,,,Figure 2,2022ApJS..260....3C,13/56/57/38/KELT_1_b_3.11521_5219_116.tbl
HD 209458 b,Eclipse,Changeat et al. 2022,,6,Infrared Array Camera (IRAC),Spitzer Space Telescope satellite,3.6,24.0,,,Figure 2,2022ApJS..260....3C,54/87/39/74/HD_209458_b_3.11218_5219_115.tbl
KELT-1 b,Eclipse,Changeat et al. 2022,,2,Infrared Array Camera (IRAC),Spitzer Space Telescope satellite,3.6,4.5,,,Figure 2,2022ApJS..260....3C,30/41/69/30/KELT_1_b_3.11521_5219_117.tbl
KELT-7 b,Eclipse,Changeat et al. 2022,,25,Wide Field Camera 3,Hubble Space Telescope satellite,1.1263,1.6295,,,Figure 2,2022ApJS..260....3C,52/45/46/03/KELT_7_b_3.11769_5219_118.tbl
KELT-7 b,Eclipse,Changeat et al. 2022,,2,Infrared Array Camera (IRAC),Spitzer Space Telescope satellite,3.6,4.5,,,Figure 2,2022ApJS..260....3C,91/56/76/98/KELT_7_b_3.11769_5219_119.tbl
KELT-9 b,Eclipse,Changeat et al. 2022,,25,Wide Field Camera 3,Hubble Space Telescope satellite,1.1263,1.6295,,,Figure 2,2022ApJS..260....3C,57/97/13/62/KELT_9_b_3.12026_5219_120.tbl
KELT-9 b,Eclipse,Changeat et al. 2022,,1,Infrared Array Camera (IRAC),Spitzer Space Telescope satellite,4.5,4.5,,,Figure 2,2022ApJS..260....3C,31/15/08/53/KELT_9_b_3.12026_5219_121.tbl
KOI-13 b,Eclipse,Changeat et al. 2022,,15,Wide Field Camera 3,Hubble Space Telescope satellite,1.142,1.632,,,Figure 2,2022ApJS..260....3C,54/94/27/30/Kepler_13_b_3.155_5219_122.tbl
