label,mist_version,rotation_v_over_vcrit,feh,log10_age_years,initial_mass_solar,log10_luminosity_solar,log10_teff_kelvin
MODEL-INFERRED,1.2,0.4,-4,8.05,1.1,0.4458450372,3.900153085
MODEL-INFERRED,1.2,0.4,-4,8.05,1.125,0.4892192757,3.909566424
MODEL-INFERRED,1.2,0.4,-4,8.05,1.15,0.5310562401,3.918983646
MODEL-INFERRED,1.2,0.4,-4,8.05,1.175,0.5718599457,3.928257793
MODEL-INFERRED,1.2,0.4,-4,8.05,1.2,0.611453122,3.93728685
MODEL-INFERRED,1.2,0.4,-4,8.05,1.225,0.6503719114,3.946184154
MODEL-INFERRED,1.2,0.4,-4,8.05,1.25,0.6882799628,3.954824751
MODEL-INFERRED,1.2,0.4,-4,8.05,1.275,0.7249993533,3.963109668
MODEL-INFERRED,1.2,0.4,-4,8.05,1.3,0.7610853082,3.971218078
MODEL-INFERRED,1.2,0.4,-4,8.05,1.325,0.7960949943,3.978995442
MODEL-INFERRED,1.2,0.4,-4,8.05,1.35,0.829894233,3.986388372
MODEL-INFERRED,1.2,0.4,-4,8.05,1.375,0.8635757546,3.993737482
MODEL-INFERRED,1.2,0.4,-4,8.05,1.4,0.8960480916,4.000683798
MODEL-INFERRED,1.2,0.4,-4,8.05,1.425,0.9275953396,4.007307613
MODEL-INFERRED,1.2,0.4,-4,8.05,1.45,0.958285391,4.013629302
MODEL-INFERRED,1.2,0.4,-4,8.05,1.475,0.9880822108,4.019626747
MODEL-INFERRED,1.2,0.4,-4,8.05,1.5,1.017605058,4.025521229
MODEL-INFERRED,1.2,0.4,-4,8.1,0.5,-1.085297614,3.686181539
MODEL-INFERRED,1.2,0.4,-4,8.1,0.525,-1.004358245,3.695609637
MODEL-INFERRED,1.2,0.4,-4,8.1,0.55,-0.9236269855,3.705217387
MODEL-INFERRED,1.2,0.4,-4,8.1,0.575,-0.8436566384,3.715120482
MODEL-INFERRED,1.2,0.4,-4,8.1,0.6,-0.7647702891,3.725001186
MODEL-INFERRED,1.2,0.4,-4,8.1,0.625,-0.6990532008,3.733957609
MODEL-INFERRED,1.2,0.4,-4,8.1,0.65,-0.634314975,3.742848098
MODEL-INFERRED,1.2,0.4,-4,8.1,0.675,-0.5695785539,3.751730514
MODEL-INFERRED,1.2,0.4,-4,8.1,0.7,-0.5048326739,3.760608175
MODEL-INFERRED,1.2,0.4,-4,8.1,0.725,-0.4400030968,3.769503035
MODEL-INFERRED,1.2,0.4,-4,8.1,0.75,-0.3751478488,3.778396488
MODEL-INFERRED,1.2,0.4,-4,8.1,0.775,-0.3102883697,3.787284296
MODEL-INFERRED,1.2,0.4,-4,8.1,0.8,-0.2454089224,3.796170205
MODEL-INFERRED,1.2,0.4,-4,8.1,0.825,-0.1805082828,3.805054885
MODEL-INFERRED,1.2,0.4,-4,8.1,0.85,-0.1155784217,3.813941077
MODEL-INFERRED,1.2,0.4,-4,8.1,0.875,-0.05061830439,3.822830458
MODEL-INFERRED,1.2,0.4,-4,8.1,0.9,0.01436875102,3.831724098
MODEL-INFERRED,1.2,0.4,-4,8.1,0.925,0.07938149842,3.84061837
MODEL-INFERRED,1.2,0.4,-4,8.1,0.95,0.1444358968,3.849513525
MODEL-INFERRED,1.2,0.4,-4,8.1,0.975,0.209486342,3.858406076
MODEL-INFERRED,1.2,0.4,-4,8.1,1,0.2621713793,3.866295706
MODEL-INFERRED,1.2,0.4,-4,8.1,1.025,0.3104329662,3.874189406
MODEL-INFERRED,1.2,0.4,-4,8.1,1.05,0.3573754167,3.882355986
MODEL-INFERRED,1.2,0.4,-4,8.1,1.075,0.4030395594,3.890976823
MODEL-INFERRED,1.2,0.4,-4,8.1,1.1,0.4470425348,3.900279666
MODEL-INFERRED,1.2,0.4,-4,8.1,1.125,0.4904869508,3.909712476
MODEL-INFERRED,1.2,0.4,-4,8.1,1.15,0.5323823451,3.919139607
MODEL-INFERRED,1.2,0.4,-4,8.1,1.175,0.5733381722,3.928406218
MODEL-INFERRED,1.2,0.4,-4,8.1,1.2,0.6129289724,3.937410484
MODEL-INFERRED,1.2,0.4,-4,8.1,1.225,0.6518958035,3.94633959
MODEL-INFERRED,1.2,0.4,-4,8.1,1.25,0.6898735778,3.954998989
MODEL-INFERRED,1.2,0.4,-4,8.1,1.275,0.7266901536,3.963308545
MODEL-INFERRED,1.2,0.4,-4,8.1,1.3,0.7630212668,3.971486699
MODEL-INFERRED,1.2,0.4,-4,8.1,1.325,0.7979171481,3.979218489
MODEL-INFERRED,1.2,0.4,-4,8.1,1.35,0.8318188901,3.986629901
MODEL-INFERRED,1.2,0.4,-4,8.1,1.375,0.8656253628,3.994001818
MODEL-INFERRED,1.2,0.4,-4,8.1,1.4,0.8981554431,4.000945525
MODEL-INFERRED,1.2,0.4,-4,8.1,1.425,0.9297890212,4.007573907
MODEL-INFERRED,1.2,0.4,-4,8.1,1.45,0.960716175,4.01395076
MODEL-INFERRED,1.2,0.4,-4,8.1,1.475,0.9905154299,4.019922852
MODEL-INFERRED,1.2,0.4,-4,8.1,1.5,1.020172455,4.025835083
MODEL-INFERRED,1.2,0.4,-4,8.15,0.5,-1.084019992,3.686097862
MODEL-INFERRED,1.2,0.4,-4,8.15,0.525,-1.003494232,3.69553126
MODEL-INFERRED,1.2,0.4,-4,8.15,0.55,-0.9230518198,3.705156893
MODEL-INFERRED,1.2,0.4,-4,8.15,0.575,-0.8431629345,3.715091804
MODEL-INFERRED,1.2,0.4,-4,8.15,0.6,-0.7644254349,3.724991789
MODEL-INFERRED,1.2,0.4,-4,8.15,0.625,-0.6985325697,3.733966122
MODEL-INFERRED,1.2,0.4,-4,8.15,0.65,-0.6338140094,3.742844866
MODEL-INFERRED,1.2,0.4,-4,8.15,0.675,-0.5690409693,3.751729913
MODEL-INFERRED,1.2,0.4,-4,8.15,0.7,-0.5041989427,3.760627737
