pl_name,hostname,is_control,st_age_gyr,st_mass_solar,st_feh,st_log_luminosity_solar,pl_orbsmax_au,label,status,reason,draws_requested,draws_supported,supported_fraction,age_precision_status,model_agreement,boundary_sensitivity,classification_robustness,kopparapu_conservative__p_current_hz,kopparapu_conservative__tau_hz_gyr_p16,kopparapu_conservative__tau_hz_gyr_p50,kopparapu_conservative__tau_hz_gyr_p84,kopparapu_conservative__f_chz_p16,kopparapu_conservative__f_chz_p50,kopparapu_conservative__f_chz_p84,kopparapu_moist_greenhouse__p_current_hz,kopparapu_moist_greenhouse__tau_hz_gyr_p16,kopparapu_moist_greenhouse__tau_hz_gyr_p50,kopparapu_moist_greenhouse__tau_hz_gyr_p84,kopparapu_moist_greenhouse__f_chz_p16,kopparapu_moist_greenhouse__f_chz_p50,kopparapu_moist_greenhouse__f_chz_p84,kopparapu_optimistic_empirical__p_current_hz,kopparapu_optimistic_empirical__tau_hz_gyr_p16,kopparapu_optimistic_empirical__tau_hz_gyr_p50,kopparapu_optimistic_empirical__tau_hz_gyr_p84,kopparapu_optimistic_empirical__f_chz_p16,kopparapu_optimistic_empirical__f_chz_p50,kopparapu_optimistic_empirical__f_chz_p84,history_start_gyr,history_steps,luminosity_anchor_max_abs_dex
HD 2039 b,HD 2039,False,6,1.23,0.3,0.1939,2.2,MODEL-INFERRED,undetermined,missing_required_measurement_or_uncertainty,256,0,0,missing,,,undetermined,,,,,,,,,,,,,,,,,,,,,,,,
HAT-P-8 b,HAT-P-8,False,3.4,1.27,0.01,0.519,0.04496,MODEL-INFERRED,undetermined,missing_required_measurement_or_uncertainty,256,0,0,missing,,,undetermined,,,,,,,,,,,,,,,,,,,,,,,,
K2-43 b,K2-43,False,,0.571,,-1.21241,0.03784,MODEL-INFERRED,undetermined,missing_required_measurement_or_uncertainty,256,0,0,missing,,,undetermined,,,,,,,,,,,,,,,,,,,,,,,,
Kepler-1753 b,Kepler-1753,False,6.2,0.86,0,-0.55992,0.1179,MODEL-INFERRED,undetermined,missing_required_measurement_or_uncertainty,256,0,0,missing,,,undetermined,,,,,,,,,,,,,,,,,,,,,,,,
Kepler-1176 b,Kepler-1176,False,3.8,1.01,-0.01,-0.11691,0.1589,MODEL-INFERRED,undetermined,missing_required_measurement_or_uncertainty,256,0,0,missing,,,undetermined,,,,,,,,,,,,,,,,,,,,,,,,
K2-126 b,K2-126,False,,0.69,0.02,-0.87762,0.0656,MODEL-INFERRED,undetermined,missing_required_measurement_or_uncertainty,256,0,0,missing,,,undetermined,,,,,,,,,,,,,,,,,,,,,,,,
Kepler-1263 b,Kepler-1263,False,4.9,0.84,-0.03,-0.41402,0.0499,MODEL-INFERRED,undetermined,missing_required_measurement_or_uncertainty,256,0,0,missing,,,undetermined,,,,,,,,,,,,,,,,,,,,,,,,
Kepler-1416 b,Kepler-1416,False,2.95,1.09,0.03,0.28393,0.0257,MODEL-INFERRED,undetermined,missing_required_measurement_or_uncertainty,256,0,0,missing,,,undetermined,,,,,,,,,,,,,,,,,,,,,,,,
Kepler-1542 c,Kepler-1542,False,8.51,0.94,0.06,0.07026,0.0387,MODEL-INFERRED,undetermined,stellar_age_effectively_unconstrained,256,0,0,too_broad,,,undetermined,,,,,,,,,,,,,,,,,,,,,,,,
K2-85 b,K2-85,False,,0.7,0.14,-0.81171,0.013,MODEL-INFERRED,undetermined,missing_required_measurement_or_uncertainty,256,0,0,missing,,,undetermined,,,,,,,,,,,,,,,,,,,,,,,,
Kepler-368 c,Kepler-368,False,6.46,1.165,0.03,0.56235,0.36,MODEL-INFERRED,undetermined,missing_required_measurement_or_uncertainty,256,0,0,missing,,,undetermined,,,,,,,,,,,,,,,,,,,,,,,,
K2-123 b,K2-123,False,,0.62,0.03,-1.14267,0.1649,MODEL-INFERRED,undetermined,missing_required_measurement_or_uncertainty,256,0,0,missing,,,undetermined,,,,,,,,,,,,,,,,,,,,,,,,
Kepler-770 b,Kepler-770,False,4.57,0.94,-0.01,0.05399,0.1694,MODEL-INFERRED,undetermined,missing_required_measurement_or_uncertainty,256,0,0,missing,,,undetermined,,,,,,,,,,,,,,,,,,,,,,,,
Kepler-1399 b,Kepler-1399,False,4.37,0.97,-0.03,0.00959,0.0276,MODEL-INFERRED,undetermined,missing_required_measurement_or_uncertainty,256,0,0,missing,,,undetermined,,,,,,,,,,,,,,,,,,,,,,,,
Kepler-723 b,Kepler-723,False,4.57,0.92,0,-0.172,0.0479,MODEL-INFERRED,undetermined,missing_required_measurement_or_uncertainty,256,0,0,missing,,,undetermined,,,,,,,,,,,,,,,,,,,,,,,,
K2-107 b,K2-107,False,4.25,1.3,0.14,0.46446,0.0475,MODEL-INFERRED,undetermined,insufficient_mist_main_sequence_support,256,86,0.3359375,supported,,,undetermined,,,,,,,,,,,,,,,,,,,,,,,,
K2-45 b,K2-45,False,,0.503,,-0.73994,0.0224,MODEL-INFERRED,undetermined,missing_required_measurement_or_uncertainty,256,0,0,missing,,,undetermined,,,,,,,,,,,,,,,,,,,,,,,,
K2-365 b,K2-365,False,,0.823,-0.021,-0.01377,,MODEL-INFERRED,undetermined,missing_required_measurement_or_uncertainty,256,0,0,missing,,,undetermined,,,,,,,,,,,,,,,,,,,,,,,,
K2-127 b,K2-127,False,,0.72,-0.11,-0.25445,0.0411,MODEL-INFERRED,undetermined,missing_required_measurement_or_uncertainty,256,0,0,missing,,,undetermined,,,,,,,,,,,,,,,,,,,,,,,,
K2-195 b,K2-195,False,,0.94,-0.1,-0.01196,0.1208,MODEL-INFERRED,undetermined,missing_required_measurement_or_uncertainty,256,0,0,missing,,,undetermined,,,,,,,,,,,,,,,,,,,,,,,,
K2-80 c,K2-80,False,,0.9,0.07,-0.43238,0.0596,MODEL-INFERRED,undetermined,missing_required_measurement_or_uncertainty,256,0,0,missing,,,undetermined,,,,,,,,,,,,,,,,,,,,,,,,
K2-229 c,K2-229,False,5.4,0.87,-0.09,-0.38869,0.0769,MODEL-INFERRED,undetermined,stellar_age_effectively_unconstrained,256,0,0,too_broad,,,undetermined,,,,,,,,,,,,,,,,,,,,,,,,
HAT-P-3 b,HAT-P-3,False,1.6,1.06,0.27,-0.36,0.03866,MODEL-INFERRED,undetermined,missing_required_measurement_or_uncertainty,256,0,0,missing,,,undetermined,,,,,,,,,,,,,,,,,,,,,,,,
WASP-32 b,WASP-32,False,2.22,0.72,-0.13,0.19345,0.0394,MODEL-INFERRED,undetermined,missing_required_measurement_or_uncertainty,256,0,0,missing,,,undetermined,,,,,,,,,,,,,,,,,,,,,,,,
WASP-24 b,WASP-24,False,3.8,1.43,0,0.33131,0.03651,MODEL-INFERRED,undetermined,missing_required_measurement_or_uncertainty,256,0,0,missing,,,undetermined,,,,,,,,,,,,,,,,,,,,,,,,
Kepler-65 c,Kepler-65,False,2.9,1.25,0.17,0.4674,0.068,MODEL-INFERRED,inferred,,256,227,0.88671875,supported,1,0,robustly_outside_across_prescriptions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,72,5.551115123e-17
TrES-2 b,TrES-2,False,3.55,1.36,-0.15,0.03841,0.03568,MODEL-INFERRED,undetermined,missing_required_measurement_or_uncertainty,256,0,0,missing,,,undetermined,,,,,,,,,,,,,,,,,,,,,,,,
Kepler-939 b,Kepler-939,False,4.47,0.88,-0.12,0.39065,0.1153,MODEL-INFERRED,undetermined,missing_required_measurement_or_uncertainty,256,0,0,missing,,,undetermined,,,,,,,,,,,,,,,,,,,,,,,,
Kepler-1028 b,Kepler-1028,False,4.68,0.9,-0.09,-0.24485,0.0354,MODEL-INFERRED,undetermined,missing_required_measurement_or_uncertainty,256,0,0,missing,,,undetermined,,,,,,,,,,,,,,,,,,,,,,,,
HAT-P-67 b,HAT-P-67,False,1.46,1.73,0.14,1.07773,0.06505,MODEL-INFERRED,undetermined,insufficient_mist_main_sequence_support,256,1,0.00390625,supported,,,undetermined,,,,,,,,,,,,,,,,,,,,,,,,
Kepler-1101 b,Kepler-1101,False,4.27,0.94,-0.04,-0.35135,0.3483,MODEL-INFERRED,undetermined,missing_required_measurement_or_uncertainty,256,0,0,missing,,,undetermined,,,,,,,,,,,,,,,,,,,,,,,,
Kepler-1388 b,Kepler-1388,False,4.47,0.63,0.02,-1.1068,0.0882,MODEL-INFERRED,undetermined,missing_required_measurement_or_uncertainty,256,0,0,missing,,,undetermined,,,,,,,,,,,,,,,,,,,,,,,,
Kepler-768 b,Kepler-768,False,4.57,0.82,-0.03,-0.46575,0.092,MODEL-INFERRED,undetermined,missing_required_measurement_or_uncertainty,256,0,0,missing,,,undetermined,,,,,,,,,,,,,,,,,,,,,,,,
Kepler-796 b,Kepler-796,False,11.75,0.93,0.09,0.57234,0.07317,MODEL-INFERRED,undetermined,stellar_age_effectively_unconstrained,256,0,0,too_broad,,,undetermined,,,,,,,,,,,,,,,,,,,,,,,,
Kepler-110 b,Kepler-110,False,4.47,0.989,-0.1498,0.27598,0.107,MODEL-INFERRED,undetermined,missing_required_measurement_or_uncertainty,256,0,0,missing,,,undetermined,,,,,,,,,,,,,,,,,,,,,,,,
Kepler-1042 b,Kepler-1042,False,4.79,0.75,-0.1,-0.6,0.0756,MODEL-INFERRED,undetermined,missing_required_measurement_or_uncertainty,256,0,0,missing,,,undetermined,,,,,,,,,,,,,,,,,,,,,,,,
Kepler-334 c,Kepler-334,False,2.75,1.022,-0.012,0.05556,0.107,MODEL-INFERRED,undetermined,missing_required_measurement_or_uncertainty,256,0,0,missing,,,undetermined,,,,,,,,,,,,,,,,,,,,,,,,
Kepler-937 b,Kepler-937,False,3.24,1.15,0.08,0.28097,0.3214,MODEL-INFERRED,undetermined,missing_required_measurement_or_uncertainty,256,0,0,missing,,,undetermined,,,,,,,,,,,,,,,,,,,,,,,,
Kepler-1117 b,Kepler-1117,False,4.27,0.95,0.03,-0.22396,0.05485,MODEL-INFERRED,undetermined,missing_required_measurement_or_uncertainty,256,0,0,missing,,,undetermined,,,,,,,,,,,,,,,,,,,,,,,,
Kepler-1789 b,Kepler-1789,False,4.5,0.92,0.12,-0.23129,0.3543,MODEL-INFERRED,undetermined,missing_required_measurement_or_uncertainty,256,0,0,missing,,,undetermined,,,,,,,,,,,,,,,,,,,,,,,,
Kepler-1831 b,Kepler-1831,False,0.3,1.117,0.07,-0.0455,0.0655,MODEL-INFERRED,undetermined,missing_required_measurement_or_uncertainty,256,0,0,missing,,,undetermined,,,,,,,,,,,,,,,,,,,,,,,,
Kepler-1245 b,Kepler-1245,False,4.57,0.86,-0.01,-0.41093,0.0484,MODEL-INFERRED,undetermined,missing_required_measurement_or_uncertainty,256,0,0,missing,,,undetermined,,,,,,,,,,,,,,,,,,,,,,,,
Kepler-114 b,Kepler-114,False,2.69,0.77,0.2291,-0.6853,0.053,MODEL-INFERRED,undetermined,missing_required_measurement_or_uncertainty,256,0,0,missing,,,undetermined,,,,,,,,,,,,,,,,,,,,,,,,
Kepler-1105 b,Kepler-1105,False,8.71,0.71,0.28,-0.94508,0.0471,MODEL-INFERRED,undetermined,missing_required_measurement_or_uncertainty,256,0,0,missing,,,undetermined,,,,,,,,,,,,,,,,,,,,,,,,
Kepler-187 b,Kepler-187,False,6.46,1.081,-0.04,0.49267,0.059,MODEL-INFERRED,undetermined,missing_required_measurement_or_uncertainty,256,0,0,missing,,,undetermined,,,,,,,,,,,,,,,,,,,,,,,,
Kepler-1379 b,Kepler-1379,False,5.01,0.83,-0.04,-0.40329,0.0171,MODEL-INFERRED,undetermined,missing_required_measurement_or_uncertainty,256,0,0,missing,,,undetermined,,,,,,,,,,,,,,,,,,,,,,,,
Kepler-304 c,Kepler-304,False,2.09,0.737,0.03,-0.6616,0.054,MODEL-INFERRED,undetermined,missing_required_measurement_or_uncertainty,256,0,0,missing,,,undetermined,,,,,,,,,,,,,,,,,,,,,,,,
Kepler-1291 b,Kepler-1291,False,4.9,0.84,-0.04,-0.46748,0.0779,MODEL-INFERRED,undetermined,missing_required_measurement_or_uncertainty,256,0,0,missing,,,undetermined,,,,,,,,,,,,,,,,,,,,,,,,
Kepler-304 e,Kepler-304,False,2.09,0.8,0.05,-0.6616,0.02317,MODEL-INFERRED,undetermined,missing_required_measurement_or_uncertainty,256,0,0,missing,,,undetermined,,,,,,,,,,,,,,,,,,,,,,,,
Kepler-461 b,Kepler-461,False,2.51,0.98,0.04,0.24622,0.07895,MODEL-INFERRED,inferred,,256,255,0.99609375,supported,1,0,robustly_outside_across_prescriptions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,72,5.551115123e-17
Kepler-1894 b,Kepler-1894,False,0.5,0.999,0,-0.26976,0.0385,MODEL-INFERRED,undetermined,missing_required_measurement_or_uncertainty,256,0,0,missing,,,undetermined,,,,,,,,,,,,,,,,,,,,,,,,
Kepler-576 b,Kepler-576,False,4.47,0.99,0.09,-0.21068,0.179,MODEL-INFERRED,undetermined,missing_required_measurement_or_uncertainty,256,0,0,missing,,,undetermined,,,,,,,,,,,,,,,,,,,,,,,,
Kepler-1893 b,Kepler-1893,False,13.9,0.973,0.16,0.15984,0.0504,MODEL-INFERRED,undetermined,missing_required_measurement_or_uncertainty,256,0,0,missing,,,undetermined,,,,,,,,,,,,,,,,,,,,,,,,
Kepler-1601 b,Kepler-1601,False,4.27,1.04,0.05,0.08501,0.03281,MODEL-INFERRED,undetermined,missing_required_measurement_or_uncertainty,256,0,0,missing,,,undetermined,,,,,,,,,,,,,,,,,,,,,,,,
Kepler-1922 b,Kepler-1922,False,,0.953,-0.28,0.15221,0.1077,MODEL-INFERRED,undetermined,missing_required_measurement_or_uncertainty,256,0,0,missing,,,undetermined,,,,,,,,,,,,,,,,,,,,,,,,
HD 80653 b,HD 80653,False,3.3,1.15,0.255,0.21165,0.01657,MODEL-INFERRED,undetermined,stellar_age_effectively_unconstrained,256,0,0,too_broad,,,undetermined,,,,,,,,,,,,,,,,,,,,,,,,
Kepler-1542 d,Kepler-1542,False,8.51,0.94,0.06,0.07026,0.0629,MODEL-INFERRED,undetermined,stellar_age_effectively_unconstrained,256,0,0,too_broad,,,undetermined,,,,,,,,,,,,,,,,,,,,,,,,
Kepler-666 b,Kepler-666,False,3.8,1.03,0.01,0.18164,0.0542,MODEL-INFERRED,undetermined,missing_required_measurement_or_uncertainty,256,0,0,missing,,,undetermined,,,,,,,,,,,,,,,,,,,,,,,,
Kepler-211 c,Kepler-211,False,1.55,0.867,0.151,-0.4133,0.062,MODEL-INFERRED,undetermined,missing_required_measurement_or_uncertainty,256,0,0,missing,,,undetermined,,,,,,,,,,,,,,,,,,,,,,,,
Kepler-203 c,Kepler-203,False,1.78,1.06,0.08,0.0937,0.061,MODEL-INFERRED,undetermined,missing_required_measurement_or_uncertainty,256,0,0,missing,,,undetermined,,,,,,,,,,,,,,,,,,,,,,,,
GJ 674 b,GJ 674,False,0.55,0.35,-0.28,-1.796,0.039,MODEL-INFERRED,undetermined,missing_required_measurement_or_uncertainty,256,0,0,missing,,,undetermined,,,,,,,,,,,,,,,,,,,,,,,,
OGLE-TR-182 b,OGLE-TR-182,False,4.3,1.14,0.37,0.24059,0.051,MODEL-INFERRED,undetermined,missing_required_measurement_or_uncertainty,256,0,0,missing,,,undetermined,,,,,,,,,,,,,,,,,,,,,,,,
HD 69830 c,HD 69830,False,7,0.86,-0.05,-0.22,0.186,MODEL-INFERRED,undetermined,missing_required_measurement_or_uncertainty,256,0,0,missing,,,undetermined,,,,,,,,,,,,,,,,,,,,,,,,
GJ 3021 b,GJ 3021,False,0.37,0.9,0.1,-0.18,0.49,MODEL-INFERRED,undetermined,missing_required_measurement_or_uncertainty,256,0,0,missing,,,undetermined,,,,,,,,,,,,,,,,,,,,,,,,
HD 221287 b,HD 221287,False,1.3,1.25,-0.03,0.22011,1.25,MODEL-INFERRED,undetermined,missing_required_measurement_or_uncertainty,256,0,0,missing,,,undetermined,,,,,,,,,,,,,,,,,,,,,,,,
HD 47536 b,HD 47536,False,10.15,2.1,-0.65,2.24845,1.93,MODEL-INFERRED,undetermined,missing_required_measurement_or_uncertainty,256,0,0,missing,,,undetermined,,,,,,,,,,,,,,,,,,,,,,,,
HD 107148 b,HD 107148,False,5.6,1.12,0.314,0.12081,0.269,MODEL-INFERRED,undetermined,missing_required_measurement_or_uncertainty,256,0,0,missing,,,undetermined,,,,,,,,,,,,,,,,,,,,,,,,
HD 179949 b,HD 179949,False,2.56,1.21,0.137,0.30146,0.0443,MODEL-INFERRED,undetermined,missing_required_measurement_or_uncertainty,256,0,0,missing,,,undetermined,,,,,,,,,,,,,,,,,,,,,,,,
HD 188015 b,HD 188015,False,6.61,1.09,0.289,0.05892,1.203,MODEL-INFERRED,undetermined,missing_required_measurement_or_uncertainty,256,0,0,missing,,,undetermined,,,,,,,,,,,,,,,,,,,,,,,,
HD 27442 b,HD 27442,False,10,1.23,0.42,0.8509,1.271,MODEL-INFERRED,undetermined,missing_required_measurement_or_uncertainty,256,0,0,missing,,,undetermined,,,,,,,,,,,,,,,,,,,,,,,,
HD 46375 b,HD 46375,False,9,0.92,0.24,-0.24502,0.0398,MODEL-INFERRED,undetermined,missing_required_measurement_or_uncertainty,256,0,0,missing,,,undetermined,,,,,,,,,,,,,,,,,,,,,,,,
HAT-P-2 b,HAT-P-2,False,1.44,1.33,0.18,0.53,0.06814,MODEL-INFERRED,undetermined,missing_required_measurement_or_uncertainty,256,0,0,missing,,,undetermined,,,,,,,,,,,,,,,,,,,,,,,,
HD 109749 b,HD 109749,False,3.3,1.13,0.24,0.19,0.0615,MODEL-INFERRED,undetermined,missing_required_measurement_or_uncertainty,256,0,0,missing,,,undetermined,,,,,,,,,,,,,,,,,,,,,,,,
HD 149143 b,HD 149143,False,4.28,1.2,0.29,0.35,0.053,MODEL-INFERRED,undetermined,missing_required_measurement_or_uncertainty,256,0,0,missing,,,undetermined,,,,,,,,,,,,,,,,,,,,,,,,
HD 224693 b,HD 224693,False,4.12,1.31,0.27,0.61,0.191,MODEL-INFERRED,undetermined,missing_required_measurement_or_uncertainty,256,0,0,missing,,,undetermined,,,,,,,,,,,,,,,,,,,,,,,,
HD 231701 b,HD 231701,False,3.43,1.21,0.05,0.47,0.567,MODEL-INFERRED,undetermined,missing_required_measurement_or_uncertainty,256,0,0,missing,,,undetermined,,,,,,,,,,,,,,,,,,,,,,,,
HIP 14810 b,HIP 14810,False,5.84,1.01,0.24,-0.01,0.0696,MODEL-INFERRED,undetermined,missing_required_measurement_or_uncertainty,256,0,0,missing,,,undetermined,,,,,,,,,,,,,,,,,,,,,,,,
HIP 14810 d,HIP 14810,False,5.84,1.01,0.24,-0.01,1.94,MODEL-INFERRED,undetermined,missing_required_measurement_or_uncertainty,256,0,0,missing,,,undetermined,,,,,,,,,,,,,,,,,,,,,,,,
HD 207832 b,HD 207832,False,1.36,1.05,0.14,-0.11,0.586,MODEL-INFERRED,undetermined,missing_required_measurement_or_uncertainty,256,0,0,missing,,,undetermined,,,,,,,,,,,,,,,,,,,,,,,,
HD 37605 c,HD 37605,False,5.65,0.94,0.27,-0.22,3.74,MODEL-INFERRED,undetermined,missing_required_measurement_or_uncertainty,256,0,0,missing,,,undetermined,,,,,,,,,,,,,,,,,,,,,,,,
HD 1605 c,HD 1605,False,4.36,1.33,0.22,0.81,3.584,MODEL-INFERRED,undetermined,missing_required_measurement_or_uncertainty,256,0,0,missing,,,undetermined,,,,,,,,,,,,,,,,,,,,,,,,
HD 55696 b,HD 55696,False,2.64,1.29,0.37,0.43,3.18,MODEL-INFERRED,undetermined,missing_required_measurement_or_uncertainty,256,0,0,missing,,,undetermined,,,,,,,,,,,,,,,,,,,,,,,,
HD 148164 c,HD 148164,False,2.41,1.21,0.24,0.33,6.15,MODEL-INFERRED,undetermined,missing_required_measurement_or_uncertainty,256,0,0,missing,,,undetermined,,,,,,,,,,,,,,,,,,,,,,,,
HD 211810 b,HD 211810,False,,1.03,0.17,0.07,2.656,MODEL-INFERRED,undetermined,missing_required_measurement_or_uncertainty,256,0,0,missing,,,undetermined,,,,,,,,,,,,,,,,,,,,,,,,
HD 221416 b,HD 221416,False,4.9,1.212,-0.08,0.71181,0.1228,MODEL-INFERRED,undetermined,insufficient_mist_main_sequence_support,256,57,0.22265625,supported,,,undetermined,,,,,,,,,,,,,,,,,,,,,,,,
Kepler-595 c,Kepler-595,False,2.7,0.93,0.406,-0.34768,0.0983,MODEL-INFERRED,undetermined,missing_required_measurement_or_uncertainty,256,0,0,missing,,,undetermined,,,,,,,,,,,,,,,,,,,,,,,,
Kepler-595 b,Kepler-595,False,2.7,0.93,0.406,-0.34768,0.1582,MODEL-INFERRED,undetermined,missing_required_measurement_or_uncertainty,256,0,0,missing,,,undetermined,,,,,,,,,,,,,,,,,,,,,,,,
PSR B1257+12 b,PSR B1257+12,False,3,1.4,,,0.19,MODEL-INFERRED,undetermined,missing_required_measurement_or_uncertainty,256,0,0,missing,,,undetermined,,,,,,,,,,,,,,,,,,,,,,,,
PSR B1257+12 c,PSR B1257+12,False,3,1.4,,,0.36,MODEL-INFERRED,undetermined,missing_required_measurement_or_uncertainty,256,0,0,missing,,,undetermined,,,,,,,,,,,,,,,,,,,,,,,,
OGLE-TR-211 b,OGLE-TR-211,False,2.6,1.33,0.11,0.26657,0.051,MODEL-INFERRED,inferred,,256,207,0.80859375,supported,1,0,robustly_outside_across_prescriptions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,72,5.551115123e-17
Lupus-TR-3 b,Lupus-TR-3,False,,0.87,,-1.46393,0.0464,MODEL-INFERRED,undetermined,missing_required_measurement_or_uncertainty,256,0,0,missing,,,undetermined,,,,,,,,,,,,,,,,,,,,,,,,
2MASS J04414489+2301513 b,2MASS J04414489+2301513,False,0.001,0.019,,-2.44363,15,MODEL-INFERRED,undetermined,missing_required_measurement_or_uncertainty,256,0,0,missing,,,undetermined,,,,,,,,,,,,,,,,,,,,,,,,
WASP-21 b,WASP-21,False,12,1.01,-0.22,0.30426,0.052,MODEL-INFERRED,undetermined,stellar_age_effectively_unconstrained,256,0,0,too_broad,,,undetermined,,,,,,,,,,,,,,,,,,,,,,,,
CoRoT-10 b,CoRoT-10,False,3,0.89,0.26,-0.72608,0.1055,MODEL-INFERRED,undetermined,missing_required_measurement_or_uncertainty,256,0,0,missing,,,undetermined,,,,,,,,,,,,,,,,,,,,,,,,
CoRoT-12 b,CoRoT-12,False,6.3,1.078,0.16,0.07,0.04016,MODEL-INFERRED,undetermined,stellar_age_effectively_unconstrained,256,0,0,too_broad,,,undetermined,,,,,,,,,,,,,,,,,,,,,,,,
CoRoT-13 b,CoRoT-13,False,1.635,1.09,0.01,0.07314,0.051,MODEL-INFERRED,undetermined,stellar_age_effectively_unconstrained,256,0,0,too_broad,,,undetermined,,,,,,,,,,,,,,,,,,,,,,,,
HD 285968 b,HD 285968,False,3.62,0.5,-0.1,-1.658,0.066,MODEL-INFERRED,undetermined,missing_required_measurement_or_uncertainty,256,0,0,missing,,,undetermined,,,,,,,,,,,,,,,,,,,,,,,,
HD 205739 b,HD 205739,False,2.84,1.22,0.19,0.36,0.896,MODEL-INFERRED,undetermined,missing_required_measurement_or_uncertainty,256,0,0,missing,,,undetermined,,,,,,,,,,,,,,,,,,,,,,,,
CoRoT-3 b,CoRoT-3,False,2.2,1.37,0.14,0.39086,0.05783,MODEL-INFERRED,inferred,,256,193,0.75390625,supported,1,0,robustly_outside_across_prescriptions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,72,0
HD 16417 b,HD 16417,False,7,1.2,0.06,0.44317,0.14,MODEL-INFERRED,undetermined,missing_required_measurement_or_uncertainty,256,0,0,missing,,,undetermined,,,,,,,,,,,,,,,,,,,,,,,,
AB Pic b,AB Pic,False,0.03,0.9,0.04,-0.22631,260,MODEL-INFERRED,undetermined,missing_required_measurement_or_uncertainty,256,0,0,missing,,,undetermined,,,,,,,,,,,,,,,,,,,,,,,,
CT Cha b,CT Cha,False,0.002,,-0.56,-0.10177,440,MODEL-INFERRED,undetermined,missing_required_measurement_or_uncertainty,256,0,0,missing,,,undetermined,,,,,,,,,,,,,,,,,,,,,,,,
HD 9446 b,HD 9446,False,,1,0.09,0.04139,0.189,MODEL-INFERRED,undetermined,missing_required_measurement_or_uncertainty,256,0,0,missing,,,undetermined,,,,,,,,,,,,,,,,,,,,,,,,
Kepler-4 b,Kepler-4,False,4.5,1.223,0.17,0.354,0.0456,MODEL-INFERRED,inferred,,256,130,0.5078125,supported,1,0,robustly_outside_across_prescriptions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,72,5.551115123e-17
GJ 876 c,GJ 876,False,1,0.32,0.2129,-1.90658,0.12959,MODEL-INFERRED,undetermined,missing_required_measurement_or_uncertainty,256,0,0,missing,,,undetermined,,,,,,,,,,,,,,,,,,,,,,,,
HIP 79431 b,HIP 79431,False,,0.49,0.4,-1.54921,0.36,MODEL-INFERRED,undetermined,missing_required_measurement_or_uncertainty,256,0,0,missing,,,undetermined,,,,,,,,,,,,,,,,,,,,,,,,
TOI-907.01,TOI-907,False,,1.069357,,0.75862,0.055225481,MODEL-INFERRED,undetermined,missing_required_measurement_or_uncertainty,256,0,0,missing,,,undetermined,,,,,,,,,,,,,,,,,,,,,,,,
WASP-31 b,WASP-31,False,1,1.163,-0.2,0.33572,0.04659,MODEL-INFERRED,undetermined,stellar_age_effectively_unconstrained,256,0,0,too_broad,,,undetermined,,,,,,,,,,,,,,,,,,,,,,,,
24 Sex b,24 Sex,False,2.7,1.54,-0.03,1.164,1.333,MODEL-INFERRED,undetermined,insufficient_mist_main_sequence_support,256,8,0.03125,supported,,,undetermined,,,,,,,,,,,,,,,,,,,,,,,,
WASP-37 b,WASP-37,False,11,0.925,-0.4,-0.021,0.0446,MODEL-INFERRED,undetermined,stellar_age_effectively_unconstrained,256,0,0,too_broad,,,undetermined,,,,,,,,,,,,,,,,,,,,,,,,
Kepler-9 d,Kepler-9,False,1,1.07,0.12,-0.038,0.0273,MODEL-INFERRED,undetermined,missing_required_measurement_or_uncertainty,256,0,0,missing,,,undetermined,,,,,,,,,,,,,,,,,,,,,,,,
KOI-217 b,KOI-217,False,1.7,0.95,0.12,-0.16872,0.0477,MODEL-INFERRED,undetermined,missing_required_measurement_or_uncertainty,256,0,0,missing,,,undetermined,,,,,,,,,,,,,,,,,,,,,,,,
HD 90156 b,HD 90156,False,4.4,0.84,-0.24,-0.14267,0.25,MODEL-INFERRED,undetermined,missing_required_measurement_or_uncertainty,256,0,0,missing,,,undetermined,,,,,,,,,,,,,,,,,,,,,,,,
HD 177830 c,HD 177830,False,4.4,1.47,0.545,0.68502,0.5137,MODEL-INFERRED,undetermined,missing_required_measurement_or_uncertainty,256,0,0,missing,,,undetermined,,,,,,,,,,,,,,,,,,,,,,,,
ups And b,ups And,False,5,1.3,0.1014,0.52541,0.05922166,MODEL-INFERRED,undetermined,missing_required_measurement_or_uncertainty,256,0,0,missing,,,undetermined,,,,,,,,,,,,,,,,,,,,,,,,
ups And d,ups And,False,5,1.3,0.1014,0.52541,2.51329,MODEL-INFERRED,undetermined,missing_required_measurement_or_uncertainty,256,0,0,missing,,,undetermined,,,,,,,,,,,,,,,,,,,,,,,,
OGLE-2017-BLG-0373L b,OGLE-2017-BLG-0373L,False,,0.248,,,2.424,MODEL-INFERRED,undetermined,missing_required_measurement_or_uncertainty,256,0,0,missing,,,undetermined,,,,,,,,,,,,,,,,,,,,,,,,
