label,pl_name,hostname,earth2_rank,planet_mass_earth_used,planet_mass_basis,planet_radius_earth,equilibrium_temperature_k,stellar_radius_solar,status,hydrogen_to_earth_air_signal_ratio,claim_boundary,hydrogen_helium__scale_height_km,hydrogen_helium__transmission_signal_ppm,water_vapour__scale_height_km,water_vapour__transmission_signal_ppm,earth_like_n2_o2__scale_height_km,earth_like_n2_o2__transmission_signal_ppm,carbon_dioxide__scale_height_km,carbon_dioxide__transmission_signal_ppm
SCENARIO,Kepler-438 b,Kepler-438,24,1.46,inferred_mass_radius,1.12,276.5012354,0.52,scenario_ensemble,12.59565217,"Five-scale-height clear-atmosphere approximation; clouds, composition, refraction and molecular opacity are not retrieved.",86.93952292,47.40151108,11.10893904,6.056859749,6.902343898,3.763323282,4.544565971,2.477806261
SCENARIO,GJ 667 C c,GJ 667 C,25,3.8,msini_lower_limit,1.77,246.0166354,,undetermined_missing_usable_mass_radius_temperature_or_star_radius,,"Five-scale-height clear-atmosphere approximation; clouds, composition, refraction and molecular opacity are not retrieved.",,,,,,,,
SCENARIO,TRAPPIST-1 e,TRAPPIST-1,26,0.692,measured,0.92,227.8889129,0.1192,scenario_ensemble,12.59565217,"Five-scale-height clear-atmosphere approximation; clouds, composition, refraction and molecular opacity are not retrieved.",102.0069457,869.418063,13.03422084,111.0923081,8.098583881,69.02525181,5.332181251,45.4468533
SCENARIO,K2-288 B b,K2-288 B,27,4.27,inferred_mass_radius,1.9,206.6501499,0.32,scenario_ensemble,12.59565217,"Five-scale-height clear-atmosphere approximation; clouds, composition, refraction and molecular opacity are not retrieved.",63.93696816,156.1598133,8.169723709,19.95375393,5.076114145,12.39791407,3.342159699,8.162899334
SCENARIO,TRAPPIST-1 f,TRAPPIST-1,28,1.039,measured,1.045,198.651695,0.1192,scenario_ensemble,12.59565217,"Five-scale-height clear-atmosphere approximation; clouds, composition, refraction and molecular opacity are not retrieved.",76.4093131,739.730752,9.763412229,94.52115164,6.066324478,58.72905521,3.994123185,38.66774385
SCENARIO,GJ 682 b,GJ 682,29,4.4,msini_lower_limit,1.93,190.0542442,0.298255,scenario_ensemble,12.59565217,"Five-scale-height clear-atmosphere approximation; clouds, composition, refraction and molecular opacity are not retrieved.",58.8811795,168.1597072,7.52370627,21.4870737,4.67472257,13.35061535,3.077879838,8.790166514
SCENARIO,TRAPPIST-1 g,TRAPPIST-1,30,1.321,measured,1.129,180.1006177,0.1192,scenario_ensemble,12.59565217,"Five-scale-height clear-atmosphere approximation; clouds, composition, refraction and molecular opacity are not retrieved.",63.59709168,665.1847517,8.126295048,84.99582938,5.04913051,52.81066375,3.324393429,34.77102111
SCENARIO,Kepler-441 b,Kepler-441,31,3.33,inferred_mass_radius,1.64,172.075837,0.55,scenario_ensemble,12.59565217,"Five-scale-height clear-atmosphere approximation; clouds, composition, refraction and molecular opacity are not retrieved.",50.86280891,36.2979759,6.499136694,4.638074698,4.038124283,2.881786143,2.658737738,1.897394195
SCENARIO,Kepler-1512 b,Kepler-1512,32,1.76,inferred_mass_radius,1.18,285.8874315,0.67,scenario_ensemble,12.59565217,"Five-scale-height clear-atmosphere approximation; clouds, composition, refraction and molecular opacity are not retrieved.",82.77199001,28.64042096,10.57642095,3.659609345,6.571473146,2.273833904,4.32671766,1.497112914
SCENARIO,Kepler-705 b,Kepler-705,33,5.1,inferred_mass_radius,2.11,234.8804927,0.51,scenario_ensemble,12.59565217,"Five-scale-height clear-atmosphere approximation; clouds, composition, refraction and molecular opacity are not retrieved.",75.03755433,80.12801281,9.588131942,10.23857941,5.957417154,6.361561251,3.922417613,4.18850976
SCENARIO,GJ 433 d,GJ 433,34,5.223,msini_lower_limit,2.14,226.5723007,0.5,scenario_ensemble,12.59565217,"Five-scale-height clear-atmosphere approximation; clouds, composition, refraction and molecular opacity are not retrieved.",72.70283105,81.91976271,9.28980619,10.46752524,5.772057695,6.503812711,3.800375259,4.282169415
SCENARIO,Kepler-440 b,Kepler-440,35,4.12,inferred_mass_radius,1.86,266.0482329,0.559,scenario_ensemble,12.59565217,"Five-scale-height clear-atmosphere approximation; clouds, composition, refraction and molecular opacity are not retrieved.",81.7572054,64.0588245,10.44675402,8.185294241,6.490906884,5.085788621,4.273672101,3.348529462
SCENARIO,TOI-2094 b,TOI-2094,36,4.27,inferred_mass_radius,1.9,252.9132521,0.384,scenario_ensemble,12.59565217,"Five-scale-height clear-atmosphere approximation; clouds, composition, refraction and molecular opacity are not retrieved.",78.25064032,132.7219184,9.998692929,16.9589118,6.212512003,10.53712159,4.09037438,6.937736646
SCENARIO,55 Cnc B c,55 Cnc B,37,5.3,msini_lower_limit,2.16,209.4888587,0.274,scenario_ensemble,12.59565217,"Five-scale-height clear-atmosphere approximation; clouds, composition, refraction and molecular opacity are not retrieved.",67.48846503,255.5911279,8.623526087,32.65886634,5.358076271,20.29201222,3.527806126,13.36044532
SCENARIO,TOI-904 c,TOI-904,38,5.34,inferred_mass_radius,2.167,218.3957934,0.527,scenario_ensemble,12.59565217,"Five-scale-height clear-atmosphere approximation; clouds, composition, refraction and molecular opacity are not retrieved.",70.28421876,72.18701789,8.980761286,9.22389673,5.580038079,5.731106011,3.673947799,3.773412299
SCENARIO,Kepler-22 b,Kepler-22,39,,upper_limit_not_used,2.1,255.0159994,0.869,undetermined_missing_usable_mass_radius_temperature_or_star_radius,,"Five-scale-height clear-atmosphere approximation; clouds, composition, refraction and molecular opacity are not retrieved.",,,,,,,,
SCENARIO,HN Lib b,HN Lib,40,5.46,msini_lower_limit,2.2,214.0706183,0.299,scenario_ensemble,12.59565217,"Five-scale-height clear-atmosphere approximation; clouds, composition, refraction and molecular opacity are not retrieved.",69.44592539,224.9524212,8.873646022,28.74392049,5.513483894,17.85952947,3.630127918,11.75887656
SCENARIO,TOI-2257 b,TOI-2257,41,5.45,inferred_mass_radius,2.194,230.0024022,0.313,scenario_ensemble,12.59565217,"Five-scale-height clear-atmosphere approximation; clouds, composition, refraction and molecular opacity are not retrieved.",74.34403066,219.1581621,9.499515029,28.00354294,5.902356594,17.3995089,3.886165239,11.45599484
SCENARIO,Kepler-174 d,Kepler-174,42,5.43,inferred_mass_radius,2.19,216.8872562,0.622,scenario_ensemble,12.59565217,"Five-scale-height clear-atmosphere approximation; clouds, composition, refraction and molecular opacity are not retrieved.",70.10668335,52.23797889,8.958076205,6.674852858,5.565943103,4.147302432,3.664667539,2.730621624
SCENARIO,K2-72 e,K2-72,43,2.21,inferred_mass_radius,1.29,266.0482329,0.330989,scenario_ensemble,12.59565217,"Five-scale-height clear-atmosphere approximation; clouds, composition, refraction and molecular opacity are not retrieved.",73.31359442,113.6346294,9.367848176,14.51998042,5.82054771,9.021734467,3.832301527,5.939991989
SCENARIO,Kepler-1410 b,Kepler-1410,44,3.82,inferred_mass_radius,1.78,257.9238682,0.6,scenario_ensemble,12.59565217,"Five-scale-height clear-atmosphere approximation; clouds, composition, refraction and molecular opacity are not retrieved.",78.28979615,50.9549362,10.00369617,6.510908514,6.215620681,4.045438497,4.092421162,2.663553483
SCENARIO,GJ 514 b,GJ 514,45,5.2,msini_lower_limit,2.13,184.9075205,0.5,scenario_ensemble,12.59565217,"Five-scale-height clear-atmosphere approximation; clouds, composition, refraction and molecular opacity are not retrieved.",59.04014634,66.21412105,7.544018699,8.460693245,4.687343341,5.256902948,3.086189468,3.461192691
SCENARIO,GJ 625 b,GJ 625,46,2.82,msini_lower_limit,1.49,305.2200233,0.31,scenario_ensemble,12.59565217,"Five-scale-height clear-atmosphere approximation; clouds, composition, refraction and molecular opacity are not retrieved.",87.93736271,179.4733279,11.23644079,22.93270301,6.981564868,14.24883169,4.596725778,9.381560322
SCENARIO,Kepler-283 c,Kepler-283,47,3.97,inferred_mass_radius,1.82,250.8889999,0.566,scenario_ensemble,12.59565217,"Five-scale-height clear-atmosphere approximation; clouds, composition, refraction and molecular opacity are not retrieved.",76.60742709,57.28923203,9.788726795,7.320290759,6.082053238,4.54833392,4.004479143,2.994664402
SCENARIO,HD 20794 f,HD 20794,48,5.82,msini_lower_limit,2.28,198.8643845,0.93,scenario_ensemble,12.59565217,"Five-scale-height clear-atmosphere approximation; clouds, composition, refraction and molecular opacity are not retrieved.",65.00409358,22.5565801,8.306078624,2.88222968,5.160835873,1.790822721,3.397941255,1.17909396
SCENARIO,Kepler-1126 c,Kepler-1126,49,2.7,inferred_mass_radius,1.45,304.531255,0.921,scenario_ensemble,12.59565217,"Five-scale-height clear-atmosphere approximation; clouds, composition, refraction and molecular opacity are not retrieved.",86.78428697,19.52780546,11.08910334,2.495219586,6.890019332,1.550360806,4.536451365,1.020771649
SCENARIO,LP 890-9 c,LP 890-9,50,,upper_limit_not_used,1.367,247.9973936,0.1556,undetermined_missing_usable_mass_radius_temperature_or_star_radius,,"Five-scale-height clear-atmosphere approximation; clouds, composition, refraction and molecular opacity are not retrieved.",,,,,,,,
SCENARIO,GJ 357 d,GJ 357,51,6.1,msini_lower_limit,2.34,199.5772188,0.337,scenario_ensemble,12.59565217,"Five-scale-height clear-atmosphere approximation; clouds, composition, refraction and molecular opacity are not retrieved.",65.56164369,177.8154476,8.377321138,22.72086274,5.205101156,14.11720847,3.42708592,9.294898395
SCENARIO,TOI-178 f,TOI-178,52,5.63,measured,2.417,224.3779239,0.662,scenario_ensemble,12.59565217,"Five-scale-height clear-atmosphere approximation; clouds, composition, refraction and molecular opacity are not retrieved.",85.20439919,61.85663466,10.88722879,7.903903317,6.76458813,4.910951319,4.453866321,3.233414993
SCENARIO,Kepler-1653 b,Kepler-1653,53,5.35,inferred_mass_radius,2.17,252.9132521,0.693,scenario_ensemble,12.59565217,"Five-scale-height clear-atmosphere approximation; clouds, composition, refraction and molecular opacity are not retrieved.",81.46559969,48.45416589,10.40949329,6.191365641,6.467755585,3.846896152,4.258429075,2.532831399
SCENARIO,GJ 887 d,GJ 887,54,6.1,msini_lower_limit,2.34,241.1494756,0.468,scenario_ensemble,12.59565217,"Five-scale-height clear-atmosphere approximation; clouds, composition, refraction and molecular opacity are not retrieved.",79.21823988,111.4071177,10.12233065,14.23535393,6.289332127,8.844886803,4.140953448,5.823553879
SCENARIO,Kepler-1630 b,Kepler-1630,55,5.43,inferred_mass_radius,2.19,181.5132798,0.63,scenario_ensemble,12.59565217,"Five-scale-height clear-atmosphere approximation; clouds, composition, refraction and molecular opacity are not retrieved.",58.67239161,42.6147952,7.497027816,5.445223831,4.658146382,3.383294061,3.066965925,2.227591567
SCENARIO,TRAPPIST-1 d,TRAPPIST-1,56,0.388,measured,0.788,261.2063821,0.1192,scenario_ensemble,12.59565217,"Five-scale-height clear-atmosphere approximation; clouds, composition, refraction and molecular opacity are not retrieved.",152.9824037,1116.808692,19.54775159,142.7033329,12.14565166,88.66620616,7.996807467,58.37863619
SCENARIO,GJ 180 c,GJ 180,57,6.4,msini_lower_limit,2.41,238.9767364,0.413049,scenario_ensemble,12.59565217,"Five-scale-height clear-atmosphere approximation; clouds, composition, refraction and molecular opacity are not retrieved.",79.36823528,147.5788816,10.14149673,18.85730154,6.301240633,11.71665267,4.148794117,7.71435063
SCENARIO,L 98-59 f,L 98-59,58,2.8,msini_lower_limit,1.48,260.3234183,0.3155,scenario_ensemble,12.59565217,"Five-scale-height clear-atmosphere approximation; clouds, composition, refraction and molecular opacity are not retrieved.",74.52734071,145.8620159,9.522937979,18.63792426,5.916910032,11.58034645,3.895747355,7.624605378
SCENARIO,Gliese 12 b,Gliese 12,59,0.95,measured,0.93,286.7766722,0.265,scenario_ensemble,12.59565217,"Five-scale-height clear-atmosphere approximation; clouds, composition, refraction and molecular opacity are not retrieved.",95.54832975,166.5627562,12.20895325,21.28301885,7.585818378,13.22382945,4.994571782,8.706689529
SCENARIO,TRAPPIST-1 c,TRAPPIST-1,60,1.308,measured,1.097,310.0698015,0.1192,scenario_ensemble,12.59565217,"Five-scale-height clear-atmosphere approximation; clouds, composition, refraction and molecular opacity are not retrieved.",104.4003536,1061.010507,13.34004518,135.5735648,8.288602459,84.23625012,5.45729121,55.46191286
