label,pl_name,earth2_rank,action_id,parameter,parameter_value,unit,prior_sigma,observation_sigma,expected_posterior_sigma,expected_information_gain_nats,expected_information_gain_bits,status,noise_rule,observation_model,cost_or_time,within_target_information_rank
SIMULATED,Kepler-1652 b,18,stellar_age_precision_requirement,stellar age,3.2,Gyr,0.75,0.64,0.486839453,0.4321388031,0.6234445081,synthetic_linear_gaussian,"max(0.20 * measured value, 0.20 Gyr)",A future independent Gaussian stellar-age constraint.,not_modelled,3
SIMULATED,Kepler-1652 b,18,eccentricity_precision_requirement,orbital eccentricity,0,dimensionless,,,,,,undetermined_missing_measured_value_or_uncertainty,Gaussian sigma 0.03,A local Gaussian approximation to a bounded eccentricity posterior.,not_modelled,
SIMULATED,Kepler-1652 b,18,inclination_precision_requirement,orbital inclination,89.9927,degrees,0.0737,0.5,0.07291218343,0.01074704896,0.01550471423,synthetic_linear_gaussian,Gaussian sigma 0.5 degrees,A future independent astrometric or transit-geometry constraint.,not_modelled,4
SIMULATED,GJ 3378 b,19,mass_precision_requirement,planet mass or minimum mass,2.3,Earth masses,0.4,0.23,0.1993884497,0.6962096165,1.004418161,synthetic_linear_gaussian,"max(0.10 * measured value, 0.10 Earth masses)",A future independent Gaussian mass-like measurement.,not_modelled,2
SIMULATED,GJ 3378 b,19,radius_precision_requirement,planet radius,1.32,Earth radii,,,,,,undetermined_missing_measured_value_or_uncertainty,"max(0.02 * measured value, 0.01 Earth radii)",A future independent Gaussian radius measurement.,not_modelled,
SIMULATED,GJ 3378 b,19,stellar_radius_precision_requirement,stellar radius,0.275,Solar radii,0.009,0.005,0.004370786381,0.7222816346,1.042032132,synthetic_linear_gaussian,"max(0.01 * measured value, 0.005 Solar radii)",A future independent Gaussian stellar-radius measurement.,not_modelled,1
SIMULATED,GJ 3378 b,19,stellar_age_precision_requirement,stellar age,,Gyr,,,,,,undetermined_missing_measured_value_or_uncertainty,"max(0.20 * measured value, 0.20 Gyr)",A future independent Gaussian stellar-age constraint.,not_modelled,
SIMULATED,GJ 3378 b,19,eccentricity_precision_requirement,orbital eccentricity,0,dimensionless,,,,,,undetermined_missing_measured_value_or_uncertainty,Gaussian sigma 0.03,A local Gaussian approximation to a bounded eccentricity posterior.,not_modelled,
SIMULATED,GJ 3378 b,19,inclination_precision_requirement,orbital inclination,,degrees,,,,,,undetermined_missing_measured_value_or_uncertainty,Gaussian sigma 0.5 degrees,A future independent astrometric or transit-geometry constraint.,not_modelled,
SIMULATED,Kepler-1544 b,20,mass_precision_requirement,planet mass or minimum mass,3.82,Earth masses,,,,,,undetermined_missing_measured_value_or_uncertainty,"max(0.10 * measured value, 0.10 Earth masses)",A future independent Gaussian mass-like measurement.,not_modelled,
SIMULATED,Kepler-1544 b,20,radius_precision_requirement,planet radius,1.78,Earth radii,0.08,0.0356,0.03252498145,0.9000181806,1.298451766,synthetic_linear_gaussian,"max(0.02 * measured value, 0.01 Earth radii)",A future independent Gaussian radius measurement.,not_modelled,3
SIMULATED,Kepler-1544 b,20,stellar_radius_precision_requirement,stellar radius,0.74,Solar radii,0.0175,0.0074,0.006815695074,0.9429728292,1.360422224,synthetic_linear_gaussian,"max(0.01 * measured value, 0.005 Solar radii)",A future independent Gaussian stellar-radius measurement.,not_modelled,2
SIMULATED,Kepler-1544 b,20,stellar_age_precision_requirement,stellar age,2.34,Gyr,1.511,0.468,0.4470479221,1.217861165,1.757002263,synthetic_linear_gaussian,"max(0.20 * measured value, 0.20 Gyr)",A future independent Gaussian stellar-age constraint.,not_modelled,1
SIMULATED,Kepler-1544 b,20,eccentricity_precision_requirement,orbital eccentricity,0,dimensionless,,,,,,undetermined_missing_measured_value_or_uncertainty,Gaussian sigma 0.03,A local Gaussian approximation to a bounded eccentricity posterior.,not_modelled,
SIMULATED,Kepler-1544 b,20,inclination_precision_requirement,orbital inclination,89.797,degrees,0.01445,0.5,0.01444396939,0.0004174307031,0.0006022252053,synthetic_linear_gaussian,Gaussian sigma 0.5 degrees,A future independent astrometric or transit-geometry constraint.,not_modelled,4
SIMULATED,GJ 251 c,21,mass_precision_requirement,planet mass or minimum mass,3.88,Earth masses,0.79,0.388,0.3482633203,0.8190740844,1.18167412,synthetic_linear_gaussian,"max(0.10 * measured value, 0.10 Earth masses)",A future independent Gaussian mass-like measurement.,not_modelled,2
SIMULATED,GJ 251 c,21,radius_precision_requirement,planet radius,1.8,Earth radii,,,,,,undetermined_missing_measured_value_or_uncertainty,"max(0.02 * measured value, 0.01 Earth radii)",A future independent Gaussian radius measurement.,not_modelled,
SIMULATED,GJ 251 c,21,stellar_radius_precision_requirement,stellar radius,0.36,Solar radii,0.01,0.005,0.004472135955,0.8047189562,1.160964047,synthetic_linear_gaussian,"max(0.01 * measured value, 0.005 Solar radii)",A future independent Gaussian stellar-radius measurement.,not_modelled,3
SIMULATED,GJ 251 c,21,stellar_age_precision_requirement,stellar age,6.8,Gyr,4.65,1.36,1.305316681,1.270421541,1.832830857,synthetic_linear_gaussian,"max(0.20 * measured value, 0.20 Gyr)",A future independent Gaussian stellar-age constraint.,not_modelled,1
SIMULATED,GJ 251 c,21,eccentricity_precision_requirement,orbital eccentricity,0,dimensionless,,,,,,undetermined_missing_measured_value_or_uncertainty,Gaussian sigma 0.03,A local Gaussian approximation to a bounded eccentricity posterior.,not_modelled,
SIMULATED,GJ 251 c,21,inclination_precision_requirement,orbital inclination,,degrees,,,,,,undetermined_missing_measured_value_or_uncertainty,Gaussian sigma 0.5 degrees,A future independent astrometric or transit-geometry constraint.,not_modelled,
SIMULATED,Kepler-296 f,22,mass_precision_requirement,planet mass or minimum mass,3.89,Earth masses,,,,,,undetermined_missing_measured_value_or_uncertainty,"max(0.10 * measured value, 0.10 Earth masses)",A future independent Gaussian mass-like measurement.,not_modelled,
SIMULATED,Kepler-296 f,22,radius_precision_requirement,planet radius,1.8,Earth radii,0.305,0.036,0.03575181891,2.14371063,3.092720695,synthetic_linear_gaussian,"max(0.02 * measured value, 0.01 Earth radii)",A future independent Gaussian radius measurement.,not_modelled,2
SIMULATED,Kepler-296 f,22,stellar_radius_precision_requirement,stellar radius,0.48,Solar radii,0.0765,0.005,0.004989354442,2.72998421,3.938534681,synthetic_linear_gaussian,"max(0.01 * measured value, 0.005 Solar radii)",A future independent Gaussian stellar-radius measurement.,not_modelled,1
SIMULATED,Kepler-296 f,22,stellar_age_precision_requirement,stellar age,4.2,Gyr,2.5,0.84,0.7962546752,1.144126932,1.650626252,synthetic_linear_gaussian,"max(0.20 * measured value, 0.20 Gyr)",A future independent Gaussian stellar-age constraint.,not_modelled,3
SIMULATED,Kepler-296 f,22,eccentricity_precision_requirement,orbital eccentricity,0.33,dimensionless,,,,,,undetermined_missing_measured_value_or_uncertainty,Gaussian sigma 0.03,A local Gaussian approximation to a bounded eccentricity posterior.,not_modelled,
SIMULATED,Kepler-296 f,22,inclination_precision_requirement,orbital inclination,89.95,degrees,0.085,0.5,0.08379774697,0.0142451352,0.02055138591,synthetic_linear_gaussian,Gaussian sigma 0.5 degrees,A future independent astrometric or transit-geometry constraint.,not_modelled,4
SIMULATED,Kepler-452 b,23,mass_precision_requirement,planet mass or minimum mass,3.29,Earth masses,,,,,,undetermined_missing_measured_value_or_uncertainty,"max(0.10 * measured value, 0.10 Earth masses)",A future independent Gaussian mass-like measurement.,not_modelled,
SIMULATED,Kepler-452 b,23,radius_precision_requirement,planet radius,1.63,Earth radii,0.215,0.0326,0.03223158695,1.897691095,2.737789532,synthetic_linear_gaussian,"max(0.02 * measured value, 0.01 Earth radii)",A future independent Gaussian radius measurement.,not_modelled,2
SIMULATED,Kepler-452 b,23,stellar_radius_precision_requirement,stellar radius,1.11,Solar radii,0.12,0.0111,0.01105281539,2.384806561,3.440548599,synthetic_linear_gaussian,"max(0.01 * measured value, 0.005 Solar radii)",A future independent Gaussian stellar-radius measurement.,not_modelled,1
SIMULATED,Kepler-452 b,23,stellar_age_precision_requirement,stellar age,6,Gyr,2,1.2,1.028991511,0.6645679736,0.9587689199,synthetic_linear_gaussian,"max(0.20 * measured value, 0.20 Gyr)",A future independent Gaussian stellar-age constraint.,not_modelled,3
SIMULATED,Kepler-452 b,23,eccentricity_precision_requirement,orbital eccentricity,0,dimensionless,,,,,,undetermined_missing_measured_value_or_uncertainty,Gaussian sigma 0.03,A local Gaussian approximation to a bounded eccentricity posterior.,not_modelled,
SIMULATED,Kepler-452 b,23,inclination_precision_requirement,orbital inclination,89.806,degrees,0.0915,0.5,0.09000531678,0.01647022832,0.02376151672,synthetic_linear_gaussian,Gaussian sigma 0.5 degrees,A future independent astrometric or transit-geometry constraint.,not_modelled,4
SIMULATED,Kepler-438 b,24,mass_precision_requirement,planet mass or minimum mass,1.46,Earth masses,,,,,,undetermined_missing_measured_value_or_uncertainty,"max(0.10 * measured value, 0.10 Earth masses)",A future independent Gaussian mass-like measurement.,not_modelled,
SIMULATED,Kepler-438 b,24,radius_precision_requirement,planet radius,1.12,Earth radii,0.165,0.0224,0.02219639276,2.006015687,2.894068883,synthetic_linear_gaussian,"max(0.02 * measured value, 0.01 Earth radii)",A future independent Gaussian radius measurement.,not_modelled,2
SIMULATED,Kepler-438 b,24,stellar_radius_precision_requirement,stellar radius,0.52,Solar radii,0.0495,0.0052,0.005171542735,2.258801624,3.258761902,synthetic_linear_gaussian,"max(0.01 * measured value, 0.005 Solar radii)",A future independent Gaussian stellar-radius measurement.,not_modelled,1
SIMULATED,Kepler-438 b,24,stellar_age_precision_requirement,stellar age,4.4,Gyr,0.75,0.88,0.5708138129,0.273010122,0.3938703491,synthetic_linear_gaussian,"max(0.20 * measured value, 0.20 Gyr)",A future independent Gaussian stellar-age constraint.,not_modelled,4
SIMULATED,Kepler-438 b,24,eccentricity_precision_requirement,orbital eccentricity,0.03,dimensionless,0.065,0.03,0.02723878154,0.8697455203,1.254777549,synthetic_linear_gaussian,Gaussian sigma 0.03,A local Gaussian approximation to a bounded eccentricity posterior.,not_modelled,3
SIMULATED,Kepler-438 b,24,inclination_precision_requirement,orbital inclination,89.86,degrees,0.23,0.5,0.2089528041,0.09597090009,0.1384567416,synthetic_linear_gaussian,Gaussian sigma 0.5 degrees,A future independent astrometric or transit-geometry constraint.,not_modelled,5
SIMULATED,GJ 667 C c,25,mass_precision_requirement,planet mass or minimum mass,3.8,Earth masses,1.35,0.38,0.3657852803,1.305813376,1.883890482,synthetic_linear_gaussian,"max(0.10 * measured value, 0.10 Earth masses)",A future independent Gaussian mass-like measurement.,not_modelled,1
SIMULATED,GJ 667 C c,25,radius_precision_requirement,planet radius,1.77,Earth radii,,,,,,undetermined_missing_measured_value_or_uncertainty,"max(0.02 * measured value, 0.01 Earth radii)",A future independent Gaussian radius measurement.,not_modelled,
SIMULATED,GJ 667 C c,25,stellar_radius_precision_requirement,stellar radius,,Solar radii,,,,,,undetermined_missing_measured_value_or_uncertainty,"max(0.01 * measured value, 0.005 Solar radii)",A future independent Gaussian stellar-radius measurement.,not_modelled,
SIMULATED,GJ 667 C c,25,stellar_age_precision_requirement,stellar age,2,Gyr,,,,,,undetermined_missing_measured_value_or_uncertainty,"max(0.20 * measured value, 0.20 Gyr)",A future independent Gaussian stellar-age constraint.,not_modelled,
SIMULATED,GJ 667 C c,25,eccentricity_precision_requirement,orbital eccentricity,0.02,dimensionless,0.085,0.03,0.02828971001,1.100153122,1.587185453,synthetic_linear_gaussian,Gaussian sigma 0.03,A local Gaussian approximation to a bounded eccentricity posterior.,not_modelled,2
SIMULATED,GJ 667 C c,25,inclination_precision_requirement,orbital inclination,,degrees,,,,,,undetermined_missing_measured_value_or_uncertainty,Gaussian sigma 0.5 degrees,A future independent astrometric or transit-geometry constraint.,not_modelled,
