label,pl_name,earth2_rank,action_id,parameter,parameter_value,unit,prior_sigma,observation_sigma,expected_posterior_sigma,expected_information_gain_nats,expected_information_gain_bits,status,noise_rule,observation_model,cost_or_time,within_target_information_rank
SIMULATED,Wolf 1069 b,4,stellar_age_precision_requirement,stellar age,,Gyr,,,,,,undetermined_missing_measured_value_or_uncertainty,"max(0.20 * measured value, 0.20 Gyr)",A future independent Gaussian stellar-age constraint.,not_modelled,
SIMULATED,Wolf 1069 b,4,eccentricity_precision_requirement,orbital eccentricity,,dimensionless,,,,,,undetermined_missing_measured_value_or_uncertainty,Gaussian sigma 0.03,A local Gaussian approximation to a bounded eccentricity posterior.,not_modelled,
SIMULATED,Wolf 1069 b,4,inclination_precision_requirement,orbital inclination,,degrees,,,,,,undetermined_missing_measured_value_or_uncertainty,Gaussian sigma 0.5 degrees,A future independent astrometric or transit-geometry constraint.,not_modelled,
SIMULATED,Teegarden's Star c,5,mass_precision_requirement,planet mass or minimum mass,1.05,Earth masses,0.135,0.105,0.08288198282,0.4878570762,0.7038289845,synthetic_linear_gaussian,"max(0.10 * measured value, 0.10 Earth masses)",A future independent Gaussian mass-like measurement.,not_modelled,3
SIMULATED,Teegarden's Star c,5,radius_precision_requirement,planet radius,1.02,Earth radii,,,,,,undetermined_missing_measured_value_or_uncertainty,"max(0.02 * measured value, 0.01 Earth radii)",A future independent Gaussian radius measurement.,not_modelled,
SIMULATED,Teegarden's Star c,5,stellar_radius_precision_requirement,stellar radius,0.12,Solar radii,0.012,0.005,0.004615384615,0.955511445,1.378511623,synthetic_linear_gaussian,"max(0.01 * measured value, 0.005 Solar radii)",A future independent Gaussian stellar-radius measurement.,not_modelled,1
SIMULATED,Teegarden's Star c,5,stellar_age_precision_requirement,stellar age,8,Gyr,,,,,,undetermined_missing_measured_value_or_uncertainty,"max(0.20 * measured value, 0.20 Gyr)",A future independent Gaussian stellar-age constraint.,not_modelled,
SIMULATED,Teegarden's Star c,5,eccentricity_precision_requirement,orbital eccentricity,0.04,dimensionless,0.05,0.03,0.02572478777,0.6645679736,0.9587689199,synthetic_linear_gaussian,Gaussian sigma 0.03,A local Gaussian approximation to a bounded eccentricity posterior.,not_modelled,2
SIMULATED,Teegarden's Star c,5,inclination_precision_requirement,orbital inclination,,degrees,,,,,,undetermined_missing_measured_value_or_uncertainty,Gaussian sigma 0.5 degrees,A future independent astrometric or transit-geometry constraint.,not_modelled,
SIMULATED,Kepler-1649 c,6,mass_precision_requirement,planet mass or minimum mass,1.2,Earth masses,,,,,,undetermined_missing_measured_value_or_uncertainty,"max(0.10 * measured value, 0.10 Earth masses)",A future independent Gaussian mass-like measurement.,not_modelled,
SIMULATED,Kepler-1649 c,6,radius_precision_requirement,planet radius,1.06,Earth radii,0.125,0.0212,0.02090152375,1.788491674,2.580248069,synthetic_linear_gaussian,"max(0.02 * measured value, 0.01 Earth radii)",A future independent Gaussian radius measurement.,not_modelled,1
SIMULATED,Kepler-1649 c,6,stellar_radius_precision_requirement,stellar radius,0.2317,Solar radii,0.0049,0.005,0.003499642912,0.336574267,0.4855740259,synthetic_linear_gaussian,"max(0.01 * measured value, 0.005 Solar radii)",A future independent Gaussian stellar-radius measurement.,not_modelled,2
SIMULATED,Kepler-1649 c,6,stellar_age_precision_requirement,stellar age,,Gyr,,,,,,undetermined_missing_measured_value_or_uncertainty,"max(0.20 * measured value, 0.20 Gyr)",A future independent Gaussian stellar-age constraint.,not_modelled,
