label,pl_name,hostname,earth2_rank,planet_radius_earth,planet_mass_earth_used,planet_mass_basis,stellar_mass_solar,stellar_age_gyr,semimajor_axis_au,bolometric_insolation_earth,bolometric_flux_w_m2,xuv_history_status,muscles_current_xuv_flux_w_m2,generic_current_xuv_flux_min_w_m2,generic_current_xuv_flux_median_w_m2,generic_current_xuv_flux_max_w_m2,generic_xuv_dose_min_j_m2,generic_xuv_dose_median_j_m2,generic_xuv_dose_max_j_m2,escape_status,current_mass_loss_min_kg_s,current_mass_loss_median_kg_s,current_mass_loss_max_kg_s,integrated_lost_min_earth_masses,integrated_lost_median_earth_masses,integrated_lost_max_earth_masses
SCENARIO,Kepler-283 c,Kepler-283,47,1.82,3.97,mass_radius_prediction_scenario,0.596,3.09,0.341,0.949,1291.3992,bounded_age_activity_scenarios,,0.02521732729,0.3224122863,3.761356893,1.329892259e+16,8.084228893e+16,3.763950126e+17,energy_limited_scenario_ensemble,3974.349806,184793.6457,6044484.656,0.0003509550418,0.00775857647,0.1012806757
SCENARIO,HD 20794 f,HD 20794,48,2.28,5.82,minimum_mass_scenario,0.79,5.76,1.3541,0.3746,509.75568,bounded_age_activity_scenarios,,5.748194904e-05,0.0034837134,0.079649325,3.651921027e+14,5.688915919e+15,5.677741531e+16,energy_limited_scenario_ensemble,11.99566827,2640.483043,168825.3068,1.276093019e-05,0.0007220021191,0.02015111399
SCENARIO,LP 890-9 c,LP 890-9,49,1.367,,upper_limit_not_used,0.118,7.2,0.03984,0.906,1232.8848,bounded_age_activity_scenarios,,0.006768618161,0.1087435552,1.541106,1.431586657e+16,1.002529787e+17,6.555589796e+17,undetermined_missing_age_environment_or_usable_mass,,,,,,
SCENARIO,Kepler-1126 c,Kepler-1126,50,1.45,2.7,mass_radius_prediction_scenario,0.794,12.3,0.6193,2.06,2803.248,bounded_age_activity_scenarios,,0.0001012994274,0.007534912856,0.2051157073,2.044571993e+15,3.370888345e+16,3.726364327e+17,energy_limited_scenario_ensemble,11.77312262,3182.041668,242455.3855,3.978827194e-05,0.002383636293,0.07375410943
SCENARIO,GJ 357 d,GJ 357,51,2.34,6.1,minimum_mass_scenario,0.342,,0.204,0.38,517.104,undetermined_missing_age_mass_or_bolometric_flux,,,,,,,,undetermined_missing_age_environment_or_usable_mass,,,,,,
SCENARIO,TOI-178 f,TOI-178,52,2.417,5.63,measured_mass,0.647,6,0.1039,0.6071,826.14168,bounded_age_activity_scenarios,,8.762555762e-05,0.00536943384,0.123921252,5.925384618e+14,9.261523392e+15,9.29749524e+16,energy_limited_scenario_ensemble,24.13719293,5410.981898,354380.1866,2.733005504e-05,0.001562780584,0.04452025038
SCENARIO,Kepler-1653 b,Kepler-1653,53,2.17,5.35,mass_radius_prediction_scenario,0.719,7.7,0.4706,0.98,1333.584,bounded_age_activity_scenarios,,9.729430617e-05,0.006377299073,0.1558734545,9.627748686e+14,1.53481823e+16,1.595320748e+17,energy_limited_scenario_ensemble,19.22727325,4581.832092,313790.5583,3.185833039e-05,0.001846406533,0.05377540852
SCENARIO,GJ 887 d,GJ 887,54,2.34,6.1,minimum_mass_scenario,0.495,2.9,0.212,0.81,1102.248,bounded_age_activity_scenarios,,0.02367328812,0.2975293285,3.306744,1.121568112e+16,6.728639725e+16,3.015798939e+17,energy_limited_scenario_ensemble,5226.827969,239212.8503,7473709.216,0.0004146419796,0.009058368674,0.1141316248
SCENARIO,Kepler-1630 b,Kepler-1630,55,2.19,5.43,mass_radius_prediction_scenario,0.66,5.01,1.1218,0.26,353.808,bounded_age_activity_scenarios,,4.918290723e-05,0.002870564078,0.06355832335,2.524221756e+14,3.886203688e+15,3.800582863e+16,energy_limited_scenario_ensemble,9.755326582,2068.099437,128070.2602,8.383456504e-06,0.0004688109249,0.01282313041
SCENARIO,TRAPPIST-1 d,TRAPPIST-1,56,0.788,0.388,measured_mass,0.0898,7.6,0.02227,1.115,1517.292,bounded_age_activity_scenarios,2.61979095,0.00768112868,0.1252184863,1.796793158,1.771919882e+16,1.250139375e+17,8.300781223e+17,energy_limited_scenario_ensemble,1145.60906,68891.92794,2853621.405,0.0004425103914,0.01151665393,0.2207421306
SCENARIO,GJ 180 c,GJ 180,57,2.41,6.4,minimum_mass_scenario,0.43,,0.129,0.7812,1063.05696,undetermined_missing_age_mass_or_bolometric_flux,,,,,,,,undetermined_missing_age_environment_or_usable_mass,,,,,,
SCENARIO,Gliese 12 b,Gliese 12,58,0.93,0.95,measured_mass,0.255,7,0.067,1.62,2204.496,bounded_age_activity_scenarios,,0.01262520726,0.2012976598,2.834352,2.551989203e+16,1.780119437e+17,1.154548597e+18,energy_limited_scenario_ensemble,1155.382118,67277.5099,2678780.043,0.0003910514958,0.00996204086,0.1827104896
SCENARIO,TRAPPIST-1 c,TRAPPIST-1,59,1.097,1.308,measured_mass,0.0898,7.6,0.0158,2.214,3012.8112,bounded_age_activity_scenarios,5.201988487,0.01525203489,0.2486401154,3.567802737,3.518413112e+16,2.482339531e+17,1.64824481e+18,energy_limited_scenario_ensemble,1914.601981,115824.4912,4858024.316,0.0007395465884,0.01936236395,0.3757928911
SCENARIO,Kepler-443 b,Kepler-443,60,2.33,6.04,mass_radius_prediction_scenario,0.738,3.2,0.495,0.86,1170.288,bounded_age_activity_scenarios,,0.0003186918235,0.01648004065,0.3291435,8.220067387e+14,1.214548604e+16,1.108108534e+17,energy_limited_scenario_ensemble,69.0451015,12980.30351,726377.0619,2.981984094e-05,0.001601804324,0.04094747546
