kepid,kepoi_name,TCE_ID,koi_disposition,koi_pdisposition,koi_period,koi_period_err1,koi_period_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_model_snr,koi_score,fpp_prob,astrophysical_planet_probability,astrophysical_planet_probability_label,observed_tce_disposition,observed_tce_mes,published_comparison_box,robovetter_score_is_candidate_reliability,false_alarm_reliability,total_candidate_reliability,reliability_status
3646449,K04999.01,003646449-01,CANDIDATE,CANDIDATE,65.752109,0.001934,-0.001934,2,0.29,-0.14,9.9,0.979,0.016,0.984,MODEL-INFERRED,PC,9.0277,False,False,,,pending_validated_smooth_false_alarm_model
11444514,K04371.01,011444514-01,CONFIRMED,CANDIDATE,66.373298,0.0007009,-0.0007009,1.99,0.64,-0.21,13.7,0.997,0.0013,0.9987,MODEL-INFERRED,PC,9.9445,False,False,,,pending_validated_smooth_false_alarm_model
9413156,K04700.02,009413156-02,CANDIDATE,CANDIDATE,66.47762,0.001134,-0.001134,1.83,0.39,-0.16,9.1,0.573,0.0035,0.9965,MODEL-INFERRED,PC,7.324,False,False,,,pending_validated_smooth_false_alarm_model
3548044,K02194.02,003548044-02,CONFIRMED,CANDIDATE,67.968656,0.0005854,-0.0005854,1.71,0.22,-0.22,27.3,0.979,0.0024,0.9976,MODEL-INFERRED,PC,20.3878,False,False,,,pending_validated_smooth_false_alarm_model
8962094,K00700.04,008962094-04,CONFIRMED,CANDIDATE,68.1609897,0.0004525,-0.0004525,1.45,0.18,-0.07,25,0.976,0.046,0.954,MODEL-INFERRED,PC,17.7233,False,False,,,pending_validated_smooth_false_alarm_model
10453588,K02484.01,010453588-01,CONFIRMED,CANDIDATE,68.8861017,0.0005576,-0.0005576,1.47,0.24,-0.33,19.5,0.939,0.00013,0.99987,MODEL-INFERRED,PC,14.9629,False,False,,,pending_validated_smooth_false_alarm_model
9955598,K01925.01,009955598-01,CONFIRMED,CANDIDATE,68.958447,0.0002345,-0.0002345,1.11,0.05,-0.04,30,0.999,0.0076,0.9924,MODEL-INFERRED,PC,27.2692,False,False,,,pending_validated_smooth_false_alarm_model
1865864,K04926.01,001865864-01,CANDIDATE,CANDIDATE,69.089357,0.002371,-0.002371,1.47,0.13,-0.14,8.6,0.523,0.61,0.39,MODEL-INFERRED,PC,7.6351,False,False,,,pending_validated_smooth_false_alarm_model
11669125,K01535.01,011669125-01,CONFIRMED,CANDIDATE,70.6981724,0.0003535,-0.0003535,1.63,0.22,-0.1,37.7,0.956,3.5e-05,0.999965,MODEL-INFERRED,PC,31.9327,False,False,,,pending_validated_smooth_false_alarm_model
7888863,K05440.01,007888863-01,CANDIDATE,CANDIDATE,74.624063,0.001895,-0.001895,1.75,0.55,-0.18,11,0.716,0.0045,0.9955,MODEL-INFERRED,PC,9.4414,False,False,,,pending_validated_smooth_false_alarm_model
2854698,K00986.02,002854698-02,CONFIRMED,CANDIDATE,76.0498163,0.0008776,-0.0008776,1.75,0.11,-0.13,17.4,0.881,0.0054,0.9946,MODEL-INFERRED,PC,12.8004,False,False,,,pending_validated_smooth_false_alarm_model
12266099,K08077.01,012266099-01,CANDIDATE,CANDIDATE,77.177672,0.00111,-0.00111,1.29,0.09,-0.12,8,0.34,0.43,0.57,MODEL-INFERRED,PC,7.2295,False,False,,,pending_validated_smooth_false_alarm_model
8409295,K03404.01,008409295-01,CONFIRMED,CANDIDATE,82.292865,0.001225,-0.001225,1.82,0.25,-0.12,13,0.993,0.00085,0.99915,MODEL-INFERRED,PC,11.7531,False,False,,,pending_validated_smooth_false_alarm_model
9282853,K05651.01,009282853-01,CANDIDATE,CANDIDATE,83.499618,0.004992,-0.004992,1.72,0.19,-0.2,16.1,0.643,0.22,0.78,MODEL-INFERRED,PC,11.8832,False,False,,,pending_validated_smooth_false_alarm_model
7429287,K04260.04,007429287-04,CANDIDATE,CANDIDATE,84.799829,0.003327,-0.003327,1.16,0.05,-0.01,14.4,0.971,0.87,0.13,MODEL-INFERRED,PC,7.9636,False,False,,,pending_validated_smooth_false_alarm_model
10160922,K07990.01,010160922-01,CANDIDATE,CANDIDATE,87.487573,0.002634,-0.002634,1.87,0.49,-0.16,8.4,0.789,0.013,0.987,MODEL-INFERRED,PC,7.8486,False,False,,,pending_validated_smooth_false_alarm_model
5088536,K00282.03,005088536-03,CONFIRMED,CANDIDATE,87.5177787,0.0006657,-0.0006657,1.85,0.08,-0.07,12.2,0.894,0.54,0.46,MODEL-INFERRED,PC,10.865,False,False,,,pending_validated_smooth_false_alarm_model
4742420,K06120.01,004742420-01,CANDIDATE,CANDIDATE,90.097375,0.002806,-0.002806,1.7,0.55,-0.23,11.5,0.997,0.037,0.963,MODEL-INFERRED,PC,9.2464,False,False,,,pending_validated_smooth_false_alarm_model
9881662,K00327.02,009881662-02,CONFIRMED,CANDIDATE,91.3514816,0.0007633,-0.0007633,1.57,0.25,-0.14,25.5,1,9.8e-05,0.999902,MODEL-INFERRED,PC,15.7533,False,False,,,pending_validated_smooth_false_alarm_model
12121570,K02290.01,012121570-01,CONFIRMED,CANDIDATE,91.500873,0.0005231,-0.0005231,1.82,0.13,-0.07,22.6,0.97,0.00029,0.99971,MODEL-INFERRED,PC,18.6613,False,False,,,pending_validated_smooth_false_alarm_model
6268648,K01613.02,006268648-02,CANDIDATE,CANDIDATE,94.094392,0.003053,-0.003053,0.9,0.04,-0.03,10.6,1,0.011,0.989,MODEL-INFERRED,PC,8.987,False,False,,,pending_validated_smooth_false_alarm_model
