period_days,planet_radius_earth,target_stars,mean_transit_geometry,mean_phase_window,mean_pipeline_including_window,mean_vetting_given_recovered,mean_pipeline_and_vetting,mean_total_selection,effective_stars,fraction_impact_target_evaluations_below_mes_training,fraction_impact_target_evaluations_above_mes_training,label
50,0.5,114105,0.016575148365,0.980213829473,0.00101181826591,0.0597332232133,0.000842637014042,1.28756861577e-05,1.46918016902,6.25486776731e-05,0,MODEL-INFERRED
56.1009227151,0.5,114105,0.0153505553224,0.977072046797,0.000894431708939,0.0585727597399,0.000748241417449,1.05357173258e-05,1.20217802547,6.87987815718e-05,0,MODEL-INFERRED
62.9462705897,0.5,114105,0.0142164367712,0.971480327749,0.000781368589171,0.0566998318585,0.000655640500501,8.50464321353e-06,0.97042231388,6.87987815718e-05,0,MODEL-INFERRED
70.6268772311,0.5,114105,0.0131661083411,0.964097511939,0.000674286482621,0.0541357531801,0.000566687906602,6.77003437634e-06,0.772494772512,7.2972491929e-05,0,MODEL-INFERRED
79.2446596231,0.5,114105,0.0121933795112,0.955269097857,0.000574462778294,0.0509696188334,0.000482891817484,5.31223778092e-06,0.606152891992,7.92435191018e-05,0,MODEL-INFERRED
88.9139705019,0.5,114105,0.0112925171245,0.946455578881,0.000483271334672,0.0473695356195,0.000405774687579,4.1101509861e-06,0.468988778268,8.58891368623e-05,0,MODEL-INFERRED
99.7631157484,0.5,114105,0.0104582115968,0.941663514956,0.000401783488126,0.0434453025859,0.000336474337521,3.1380044367e-06,0.35806199625,9.40103118035e-05,0,MODEL-INFERRED
111.936056928,0.5,114105,0.00968554562249,0.937980127602,0.000330189960936,0.0393261480311,0.000275344184798,2.36410319379e-06,0.269755994928,9.6086705345e-05,0,MODEL-INFERRED
125.594321575,0.5,114105,0.00896996519314,0.935844124974,0.000267917563108,0.0347576667419,0.000221562563561,1.75102208979e-06,0.199800375556,0.000105888759966,0,MODEL-INFERRED
140.919146563,0.5,114105,0.00830725275603,0.933272582355,0.000214275790556,0.0303750854526,0.00017535223287,1.27548584687e-06,0.145539312558,0.000118430814312,0,MODEL-INFERRED
158.113883008,0.5,114105,0.00769350235666,0.93004485155,0.000168508740369,0.0262060896732,0.00013602449718,9.10562555228e-07,0.103899740364,0.000128628382794,0,MODEL-INFERRED
