draw,estimand,unsupported_reliability_scenario,integrated_rate,alpha,beta,imputed_valid_candidate_count,shape_weighted_effective_stars,label,gamma_earth_per_dlnp_dlnr,full_model_projected_hsu_box_rate,full_model_projected_bryson_earth_box_rate
1642,full_fixed_box,lower,0.412217250811,0.45,1.05,55,148.51208727,MODEL-INFERRED,0.16509773684,0.0908832860932,0.0265600400583
1643,full_fixed_box,lower,0.236255369991,-0.45,0.3,57,175.574796626,MODEL-INFERRED,0.048227963993,0.0262576884816,0.00796903132284
1644,full_fixed_box,lower,0.770051533235,0.3,-0.6,57,82.4313224197,MODEL-INFERRED,0.295451368642,0.146331146997,0.04902193659
1645,full_fixed_box,lower,0.35969259928,0.15,0.15,57,128.230247575,MODEL-INFERRED,0.126900891227,0.0657275011088,0.0207417884564
1646,full_fixed_box,lower,0.971850468343,0.15,-1.05,54,67.3685973246,MODEL-INFERRED,0.31494081838,0.155298607104,0.0531441850004
1647,full_fixed_box,lower,0.480816490489,0.3,-0.15,49,102.646799857,MODEL-INFERRED,0.189500985175,0.0957286175526,0.03108303636
1648,full_fixed_box,lower,0.66898325117,0,-0.9,56,79.3571151616,MODEL-INFERRED,0.196576634816,0.0980428542242,0.0330996848785
1649,full_fixed_box,lower,0.720050354658,0.45,-0.9,53,65.3703187652,MODEL-INFERRED,0.295020011395,0.143945107173,0.0492897626375
1650,full_fixed_box,lower,0.287103506234,-1.05,-0.3,49,171.619057343,MODEL-INFERRED,0.0293756169941,0.0163327655512,0.00500499384385
1651,full_fixed_box,lower,0.726076775679,0.15,-0.9,62,74.3076859738,MODEL-INFERRED,0.240705325171,0.119052079621,0.0404124274749
1652,full_fixed_box,lower,1.73778365062,0.45,-1.5,61,42.4206405754,MODEL-INFERRED,0.637808329007,0.309071377467,0.108938189878
1653,full_fixed_box,lower,2.3050487626,0.45,-2.1,57,29.3751792496,MODEL-INFERRED,0.723085322638,0.352784751227,0.126872118005
1654,full_fixed_box,lower,0.378680465159,-0.15,0.45,47,162.303357984,MODEL-INFERRED,0.10244309231,0.0551722696061,0.0167648446869
1655,full_fixed_box,lower,0.283621154601,-0.6,-0.3,49,139.846682738,MODEL-INFERRED,0.0493587880122,0.0262675913387,0.00829063079118
1656,full_fixed_box,lower,1.71549550845,0.75,-1.8,56,29.9262721983,MODEL-INFERRED,0.696628411142,0.334980271917,0.120083766741
1657,full_fixed_box,lower,1.07490945195,0.9,-0.6,54,55.9857400924,MODEL-INFERRED,0.584795764938,0.2842154193,0.0963228617228
1658,full_fixed_box,lower,0.53739991569,0,-0.15,53,120.224879703,MODEL-INFERRED,0.168052223295,0.0862356011429,0.0277171025787
1659,full_fixed_box,lower,0.656449608976,0,-0.9,44,83.2001931146,MODEL-INFERRED,0.192893700751,0.096205986033,0.032479550359
1660,full_fixed_box,lower,0.603782532464,0,-0.45,67,102.432957668,MODEL-INFERRED,0.186118647047,0.0941722331767,0.0309234610126
1661,full_fixed_box,lower,1.42325567393,0.75,-1.35,55,37.9527826059,MODEL-INFERRED,0.642117715292,0.308361926489,0.108622740896
1662,full_fixed_box,lower,0.838111957446,-0.3,-1.8,47,54.1059863083,MODEL-INFERRED,0.156385883364,0.0791557130081,0.0274526238468
1663,full_fixed_box,lower,0.757387362695,0.3,-0.75,54,73.8925374775,MODEL-INFERRED,0.285985437946,0.140965337708,0.0476628165986
1664,full_fixed_box,lower,5.05385112316,0.75,-3,54,12.8293414887,MODEL-INFERRED,1.38773599031,0.694108741392,0.254848918931
1665,full_fixed_box,lower,0.898124216418,0.6,-0.6,62,67.6359806254,MODEL-INFERRED,0.417814802343,0.204565614433,0.0690290199176
1666,full_fixed_box,lower,1.27112613356,0.15,-1.65,54,45.8469666079,MODEL-INFERRED,0.364452622946,0.179104927843,0.0629478463878
1667,full_fixed_box,lower,0.895038590827,0.75,-0.3,60,70.5050281776,MODEL-INFERRED,0.462034756871,0.228048421057,0.0756018607866
1668,full_fixed_box,lower,0.574932716263,-0.3,-0.6,56,113.50521563,MODEL-INFERRED,0.133478435215,0.0685015671193,0.0224199270185
1669,full_fixed_box,lower,1.63290388673,0.3,-2.1,54,33.2217583993,MODEL-INFERRED,0.463002723586,0.227316209038,0.0814245372309
1670,full_fixed_box,lower,1.86787998717,1.2,-1.2,60,33.8285861354,MODEL-INFERRED,1.0576756631,0.505291404197,0.177341554067
1671,full_fixed_box,lower,0.911976399194,0.15,-1.2,61,61.6930996858,MODEL-INFERRED,0.287957013343,0.141688513916,0.0488522627319
1672,full_fixed_box,lower,0.792039082959,0.6,-0.75,57,61.8492438085,MODEL-INFERRED,0.36262160601,0.176693321667,0.0601773262497
1673,full_fixed_box,lower,0.889308823132,0.15,-0.75,63,81.1655454231,MODEL-INFERRED,0.30059345385,0.149254416285,0.0502278028439
1674,full_fixed_box,lower,1.22224284392,1.05,-0.75,57,47.3893999985,MODEL-INFERRED,0.698948859327,0.337342361756,0.115515464452
1675,full_fixed_box,lower,1.28844065077,0.45,-1.35,56,47.5784906849,MODEL-INFERRED,0.488358440375,0.236747954935,0.0829152197968
1676,full_fixed_box,lower,1.33638445912,0.6,-1.5,49,38.6820446247,MODEL-INFERRED,0.537552132585,0.259127695482,0.0916324069242
1677,full_fixed_box,lower,1.56321557686,0.75,-1.5,54,36.2048219259,MODEL-INFERRED,0.682921525288,0.327821900294,0.116217443369
1678,full_fixed_box,lower,3.70089778526,1.05,-2.25,53,18.7544596876,MODEL-INFERRED,1.51821835434,0.732606065594,0.266754047187
1679,full_fixed_box,lower,0.607561713698,0.45,-0.3,58,85.5562118214,MODEL-INFERRED,0.263491030524,0.131286387509,0.0432726136115
1680,full_fixed_box,lower,0.935976855695,0.75,-1.05,52,49.4770993581,MODEL-INFERRED,0.446208167739,0.215015034956,0.0746536203688
1681,full_fixed_box,lower,1.23412855475,0.75,-1.35,56,39.8559277106,MODEL-INFERRED,0.556790900236,0.267385730933,0.0941885767192
1682,full_fixed_box,lower,0.528987234622,0,-0.9,52,85.0193060927,MODEL-INFERRED,0.155439661996,0.0775257351208,0.0261730181438
1683,full_fixed_box,lower,0.589076358789,0.15,-0.3,58,101.41851727,MODEL-INFERRED,0.206710042952,0.104404999449,0.0341140166116
1684,full_fixed_box,lower,0.607647673117,0.15,-0.75,54,83.5463475516,MODEL-INFERRED,0.205389745423,0.10198268183,0.0343196949473
1685,full_fixed_box,lower,0.29887563795,-0.15,0.75,55,188.289313979,MODEL-INFERRED,0.0785834999431,0.0433873121053,0.0128132343587
1686,full_fixed_box,lower,0.562712368579,-0.3,-1.05,46,86.0396068638,MODEL-INFERRED,0.123265851593,0.0625231374864,0.0210019360105
1687,full_fixed_box,lower,0.453550778797,0.75,0.6,52,106.001849953,MODEL-INFERRED,0.22915856163,0.119908599866,0.0368823617358
1688,full_fixed_box,lower,0.328745165002,0,0.15,55,142.334120785,MODEL-INFERRED,0.102803060185,0.0536934430615,0.0168519551376
1689,full_fixed_box,lower,0.464265921681,0,0.15,56,139.073365196,MODEL-INFERRED,0.145182234051,0.0758278401783,0.0237989461656
1690,full_fixed_box,lower,0.607079020972,0,-0.6,60,93.6938814877,MODEL-INFERRED,0.18481022334,0.0929798369206,0.0308334450748
1691,full_fixed_box,lower,2.03765243084,0.3,-2.85,49,21.7160320452,MODEL-INFERRED,0.449515843577,0.226661421425,0.0823046902862
1692,full_fixed_box,lower,0.762491588153,0.15,-0.9,50,75.3418674484,MODEL-INFERRED,0.25277738087,0.125022879541,0.0424392254905
1693,full_fixed_box,lower,0.226573212787,0,1.5,51,223.009495544,MODEL-INFERRED,0.0596391007969,0.0352506467709,0.00965638597284
1694,full_fixed_box,lower,1.39455831924,0.45,-1.5,58,44.8064422843,MODEL-INFERRED,0.511836390552,0.248027457578,0.0874220786477
1695,full_fixed_box,lower,0.329001632362,-0.15,0.15,53,148.695564788,MODEL-INFERRED,0.0902911441967,0.0476043807818,0.0148486168193
1696,full_fixed_box,lower,0.58587854639,0.15,-0.15,62,107.244376615,MODEL-INFERRED,0.206700137386,0.10518415828,0.033992382795
1697,full_fixed_box,lower,0.360274860841,-0.15,0,56,138.290684346,MODEL-INFERRED,0.0990520000089,0.0517407803393,0.0163367933553
