estimand,node_index,period_days,planet_radius_earth,log_quadrature_weight,effective_stars,label,gradient::mes::intercept,gradient::mes::log_raw_mes,gradient::mes::log_period,gradient::mes::log_duration,gradient::mes::duty_cycle,gradient::mes::log_dataspan,gradient::mes::cdpp_slope_long,gradient::mes::cdpp_slope_short,gradient::mes::log_stellar_radius,gradient::mes::stellar_logg,gradient::mes::stellar_teff_offset_1000k,gradient::pipeline::intercept,gradient::pipeline::log_mes_over_7,gradient::pipeline::log_period_scaled,gradient::pipeline::window_logit_scaled,gradient::pipeline::log_period_scaled_squared,gradient::vetting::intercept,gradient::vetting::log_mes_over_7,gradient::vetting::log_period_scaled,gradient::vetting::window_logit_scaled,gradient::vetting::log_period_scaled_squared
full_fixed_box,0,50.7958345534,0.506431611475,0.0013221294933,1.58233998287,MODEL-INFERRED,6.47422465178,11.1076483508,25.4295525198,11.0493846768,5.51132613385,47.1552711422,-0.815228129711,-3.27873607608,-1.07806291785,29.1188566094,0.495756660795,0.798249247435,-0.0125770854891,-0.78730030805,1.22326432535,0.776501546412,0.23449799812,-0.00788428900171,-0.231281578717,0.359280434163,0.228109276339
full_fixed_box,1,54.2940905005,0.506431611475,0.00301768222402,1.41012993621,MODEL-INFERRED,5.78339136542,9.86876063013,23.1012674791,9.97900283917,4.92466738901,42.1240830889,-0.735887220863,-2.93250928627,-0.986669290314,26.0239189993,0.406655742868,0.714233328007,-0.019033357611,-0.663119136797,1.0943613481,0.615662938627,0.206195308106,-0.00967262301398,-0.191438916893,0.315850992519,0.177738568535
full_fixed_box,2,61.0055499873,0.506431611475,0.00457476523763,1.14002360189,MODEL-INFERRED,4.6963507404,7.94630569812,19.3065327862,8.25511864642,4.0011569296,34.2072310115,-0.607223063693,-2.38291956764,-0.837031043819,21.1506708722,0.27548337499,0.581302889669,-0.0256125326376,-0.480854514788,0.890238930303,0.39776348699,0.163721368982,-0.0111767620077,-0.135430531727,0.250646538585,0.112028313945
full_fixed_box,3,71.6677140035,0.506431611475,0.00591817020468,0.830282377301,MODEL-INFERRED,3.44244389707,5.77129597839,14.7062592425,6.20197589938,2.9353107033,25.0747743308,-0.452888420216,-1.74296365856,-0.652762774577,15.5227798582,0.141140753912,0.426935177449,-0.0273615791125,-0.293429518275,0.648405514689,0.201672025973,0.117641859555,-0.0109843943527,-0.0808544153812,0.178597409886,0.0555706660142
full_fixed_box,4,87.3666505591,0.506431611475,0.00698489626913,0.541109691663,MODEL-INFERRED,2.26264053381,3.76683644689,10.1142603065,4.19753897484,1.93191669615,16.4816512826,-0.302838392596,-1.13857246829,-0.462125004411,10.2181011629,0.0432643355263,0.280811420889,-0.0229559882246,-0.144687701687,0.4174057248,0.074550140992,0.0767680625778,-0.00898099591378,-0.0395546395591,0.113932546357,0.0203804740944
full_fixed_box,5,109.499924536,0.506431611475,0.0077250316008,0.316716343345,MODEL-INFERRED,1.35006518302,2.24440145829,6.33980330563,2.58772244094,1.15446935462,9.83455673912,-0.182660343787,-0.673682399151,-0.298501795705,6.10688428601,-0.00478915845905,0.167423035617,-0.0152389221134,-0.0534267615087,0.244518823205,0.0170491404292,0.0461747135271,-0.00617337019461,-0.0147349222182,0.0671068847244,0.00470209593502
full_fixed_box,6,139.618359241,0.506431611475,0.00810395965133,0.166867939563,MODEL-INFERRED,0.745275828719,1.24561656418,3.68085225164,1.47829407412,0.63768359299,5.42913220423,-0.099910613819,-0.368312963289,-0.179032739972,3.37738581165,-0.019649090626,0.0920781027044,-0.00823600773563,-0.0099494946648,0.0978692338504,0.00107509213567,0.0264624766431,-0.0036632060954,-0.00285940155634,0.0279748635128,0.000308972488504
full_fixed_box,7,179.059545865,0.506431611475,0.00810395965133,0.0793306649804,MODEL-INFERRED,0.385302508294,0.647996402139,1.9988409153,0.790295606649,0.329272537589,2.80689457561,-0.0497831143462,-0.187621474667,-0.101257841168,1.74999015884,-0.0215374451956,0.0473495631932,-0.00407326699404,0.00511635462216,0.0350704006709,0.000552847436266,0.0143989004506,-0.0020040343147,0.00155587244964,0.0106323075155,0.000168119717741
full_fixed_box,8,228.310659629,0.506431611475,0.0077250316008,0.0341078195177,MODEL-INFERRED,0.185741333859,0.313022496986,1.00870680725,0.393519945124,0.158444322752,1.35313462259,-0.0227494503851,-0.0887437081371,-0.0534307037187,0.845660679846,-0.0172948157987,0.022643511245,-0.00198497429085,0.00722582451425,0.0108664137512,0.0023058499782,0.00745563008591,-0.00106754907704,0.00237918377856,0.00357687241115,0.000759226971692
full_fixed_box,9,286.150377061,0.506431611475,0.00698489626913,0.0135347667701,MODEL-INFERRED,0.0835118702794,0.139804851657,0.4723863529,0.182455849674,0.0711243468318,0.608395593037,-0.0102310867781,-0.0398824970033,-0.026068666361,0.381090059341,-0.0107322395729,0.0100654236744,-0.00102082751287,0.00518619582261,0.00322595534122,0.00267218032549,0.00367814941095,-0.000577502629645,0.00189516146831,0.00118168084248,0.000976479362227
